# scene_token,name,part,location,vehicle,description
f13bd38bf9b64d579a63d4e7d750f592,scene-0364,4,singapore-onenorth,n015,Followed by scooter; peds; bus stop; parked trucks; bus stop; parked bicycles; bicyclist
17302a41218442ffbb0b094adb0669ab,scene-0371,4,singapore-onenorth,n015,Peds; parked bus; oncoming scooter; parked bicycles; parked trucks; buses; wait at intersection
b68cfa7e0bd64bd395fd922d750cfdd2,scene-0372,4,singapore-onenorth,n015,Turn left; peds; parked bicycle; bus stop
e0a22086a94f48e5bbd4c4e7916b2106,scene-0383,4,singapore-onenorth,n015,Peds sitting; turn left; parked bicycle; jaywalker
d0de3bf834b747179080898725b0f21d,scene-0385,4,singapore-onenorth,n015,Turn left; construction; peds; parked bicycle; turn left
d987908d74794138b07d1237887bb441,scene-0392,4,boston-seaport,n008,Cross intersection; bicyclist crossing; school bus; bicycle rack; jaywalker; peds; parked scooter
dbfd4af0e0d744858e796ec69826e673,scene-0395,4,boston-seaport,n008,Ped walking dog; peds; parking lot; truck; parked motorcycle
36349e9caeff483e9d8d25e9743b9f5b,scene-0399,4,singapore-hollandvillage,n015,Wait at highway-like intersection; many cars; motorcycle; trash cans
9f5f2211d6f943a89dd87bbe9703539d,scene-0400,4,singapore-hollandvillage,n015,Wait at highway-like intersection; many cars; truck
ced236f5da704cbcb41249bb6ecc8b68,scene-0401,4,singapore-hollandvillage,n015,Turn right; residential area; construction; narrow road; motorcycle
1847e3fc11ab466d95f82e6c7031f33d,scene-0402,4,singapore-hollandvillage,n015,Residential area; many cars on the opposite lane; garbage bins
f2e4460c1fd149ec8068626837f20013,scene-0403,4,singapore-hollandvillage,n015,Residential area; parked bike; rubbish bins; sitting peds; motorcycle
295c6c85275e4376bc8446b4a76504cd,scene-0405,4,singapore-hollandvillage,n015,Residential area; turn right; cross intersection; parked bike; lot of trash bins
83ffc453d209404781ea4574d77adb22,scene-0406,4,singapore-hollandvillage,n015,Residential area; many trash cans; jaywalker; ped with bags; parked scooter; parked vehicles
c34206e65a1442828b950b0ca52098b7,scene-0407,4,singapore-hollandvillage,n015,Residential area; taxi turn right; rubbish bins (pushable pullable objects); parked bicycles; parked cars
268099669c954f429087081530094337,scene-0408,4,singapore-hollandvillage,n015,Residential area; narrow road; overtake stopped car; peds; parked trucks
5c6620829a1f492b8482218670aa0541,scene-0410,4,singapore-hollandvillage,n015,Residential area; bicycle; bump
ceca737af78440118b7b394a54723454,scene-0411,4,singapore-hollandvillage,n015,Residential area; parked bike; rubbish bins
055a607b74e04001adef097225a8661a,scene-0412,4,singapore-hollandvillage,n015,Residential area; rubbish bins; ped holds umbrella
5035adcd18d34d4783c2ccb41db998c1,scene-0413,4,singapore-hollandvillage,n015,Nature; trash cans; narrow road; bump; cross intersection; barricade; construction; parked bicycle; trash bags; van turning
05d5241d4d5a4c2a9c670dc8c9853c74,scene-0414,4,singapore-hollandvillage,n015,Residential area; turn right; parked bike; narrow road; oncoming vehicle; trash cans
3be5ff913abf449bac92ce2d2a4cffa0,scene-0415,4,singapore-hollandvillage,n015,Residential area; movable trash cans; nature; van turn left; ped
bd916d78cb3149999182fb3ce4eb8a8d,scene-0416,4,singapore-hollandvillage,n015,Nature; garbage bins; driving uphill on narrow road; peds; oncoming car
4b5bf3f4668d44fea9a676e9c4a8a79e,scene-0417,4,singapore-hollandvillage,n015,Nature; overtake parked van; rubbish bins
b526c20f7eed49f0886cdb4ba6b733e8,scene-0418,4,singapore-hollandvillage,n015,Nature; construction worker
8c84164e752a4ab69d039a07c898f7af,scene-0419,4,singapore-hollandvillage,n015,Residential area; trash cans; stroller; arrive at intersection
c7b8d96173bf41dc8df8c0d16adfc71e,scene-0420,4,singapore-queenstown,n015,Exit parking lot; turn left; peds; parked bicycle; arrive at intersection
4deb245e67374cd88e64d6557b652841,scene-0424,4,singapore-queenstown,n015,Bump; peds; bus; turn left
48ff8fee13c344ed843af3eec8f9b94b,scene-0425,4,singapore-queenstown,n015,Turn left; scooter; turn left; bus with advertising
034256c9639044f98da7562ef3de3646,scene-0426,5,singapore-queenstown,n015,Bus; unloading van; peds; parking lot; parked bicycles
261e8288cf5647e396ab584e210e4ba1,scene-0439,5,singapore-queenstown,n015,Parking lot; peds; parked bicycle
df0c3cb16cde410eba8eea191765515c,scene-0455,5,boston-seaport,n008,Rain; bus; jaywalker; parking lot; parked bicycle; peds; bicycle rack
634e7fbfe29c4a72b1ceb692b1d2ab44,scene-0458,5,boston-seaport,n008,Rain; turn left; bus stop; parked cars
48ba943c3d19463a81281bf6a7078eac,scene-0463,5,boston-seaport,n008,Rain; FedEx truck loaded on trailer; true cone loaded on a van; arrive at intersection; parked cars; several active trucks
64a3a2d22172406c848f2a92275808ba,scene-0465,5,boston-seaport,n008,Rain; start at intersection; wet ground; traffic cone loaded on a truck; car overtaking us
453453c849304ad69741891946d46453,scene-0467,5,boston-seaport,n008,Rain; wait at intersection; flipped cone; construction; digger; ped
4efde86424ea4088a43faeb5158ceabf,scene-0468,5,boston-seaport,n008,Rain; wait at intersection; flipped cone; truck
1e3f0bd8063a4084b7104345b20bfb80,scene-0469,5,boston-seaport,n008,Rain; truck; cross intersection; ped; parked cars; bicyclist; sign trailer; bicycle rack
5fc7c5dfc56b4971b14005bc53f69908,scene-0479,5,boston-seaport,n008,Rain; many peds; jaywalker; bicycle rack; parked cars
1ec0b9bc3eca4b76b2610c519f843762,scene-0500,5,boston-seaport,n008,Left turn; large truck turns right; parked vehicles; parking lot; peds
20ec831deb0f44e397497198cbe5a97c,scene-0502,5,boston-seaport,n008,Parked truck; right turn; jaywalkers; bike rack; arrive at intersection
ccf96ecd7161425ba7c5b5dbad79b600,scene-0510,5,boston-seaport,n008,Turn left; parking lot; bicycle rack; ped; parked bicycles; pedestrians
1c76efe7d0b048bc815c0445eeaa76ab,scene-0518,5,boston-seaport,n008,Parking lot; peds; parked motorcyle; bicycle racks; oncoming traffic; turn left; car exiting parking lot; car being unloaded
2f0e54af35964a3fb347359836bec035,scene-0539,6,boston-seaport,n008,Jaywalkers; bicycle racks; bus; parked scooters; parked bicycles; many peds; cross intersection
6f83169d067343658251f72e1dd17dbc,scene-0553,6,boston-seaport,n008,Wait at intersection; bicycle; large truck; peds crossing crosswalk; ped with stroller
b94fbf78579f4ff5ab5dbd897d5e3199,scene-0556,6,boston-seaport,n008,Turn left; oncoming vehicle; pedestrian; parked truck; passengers exiting car
952cb0bcd89b4ca4b904cdcbbf595523,scene-0558,6,boston-seaport,n008,Turning right; parked cars; peds; parked bicycle
44c9089913db4d4ab839a2fcb35989ed,scene-0560,6,boston-seaport,n008,Arrive at intersection; parked cars; statue; peds; ped with stroller; flag; bendy bus
47a73fb6a41a4c4b9fe2897254dd3671,scene-0573,6,boston-seaport,n008,Rain; parked cars; ped; parked trucks; construction vehicle
9c5dc664216e43a99d5da3f23d373e4d,scene-0592,6,boston-seaport,n008,Rain; wait at intersection; turn left; huge truck; scooter
c4ab236557c8423caa8add5fb48a0898,scene-0596,6,boston-seaport,n008,Rain; wait at intersection; start at intersection; peds; large truck; dog; turn left
3045ed93c2534ec2a5cabea89b186bd9,scene-0637,6,boston-seaport,n008,Rain; parked cars; peds; jaywalker; water reflections; parked bicycle; ped with umbrella; cross intersection
38b3010304734913bb148d17ebbc352b,scene-0645,6,boston-seaport,n008,Rain; parked cars; wait at intersection; ped crossing crosswalk; turn right; truck
b7bb8ec5bf22476f8ba8ca0b2e57e8f6,scene-0649,6,boston-seaport,n008,Rain; parked scooter; parked bicycle; wait at intersection
c468cdcc838143d480b5b9c835c8380c,scene-0652,6,boston-seaport,n008,Rain; wait at intersection; peds crossing; parked cars
ff6af17f52c34e9c9958c64e41fb3786,scene-0658,7,boston-seaport,n008,Wait at intersection; peds crossing crosswalk; scooter; turn left; heavy truck; bus stop
1466f33b56704942a368fa03d10708dd,scene-0695,7,boston-seaport,n008,Parked cars; peds; bicycle racks; cones; through intersection
f36162eac28641a0978032ff89e0f752,scene-0697,7,boston-seaport,n008,Ped crossing road; parked cars; ped on sidewalk; pole; bench; trailer; cross intersection; parked bus; parking lot
f68ef41fbd1142d3a74f71be605a2227,scene-0698,7,boston-seaport,n008,Pullable object; peds on sidewalk; parked cars; parking lot; truck; arrive at intersection; cone
b0525843a3b0463f91d715deff733b8f,scene-0701,7,boston-seaport,n008,Parked cars; ped on sidewalk; bicycle; car overtaking us; ped on sidewalk; parking lot; arrive at intersection; wait at intersection
77c23b25e2ee4b9ebff6d179d3ce4a31,scene-0703,7,boston-seaport,n008,Wait at intersection; cars; parking lot; cars overtaking us; cone; cross intersection
1891b66d9f58463399aa242f3b521232,scene-0704,7,boston-seaport,n008,Cars; bicycles; peds on sidewalk; parking lot; arrive at intersection; wait at intersection; truck; motorcycle
30ae9c1092f6404a9e6aa0589e809780,scene-0716,7,boston-seaport,n008,Wait at intersection; ped crossing crosswalk; cars; bus; peds on sidewalk; bridge; bicycle crossing crosswalk; turn right; parked cars
85e8f6d6743a4897b5e07e685267868e,scene-0731,7,boston-seaport,n008,Wait at intersection; cones; peds crossing crosswalk; parked motorcycle; bicycle; truck
221a67d95acf448ba863917ec4d32ed0,scene-0733,7,boston-seaport,n008,Wait at intersection; parked cars; bicycle; parked motorcycle; peds on sidewalks; truck; bus; cones
20b987b503444b3d9996c8f66946afa3,scene-0734,7,boston-seaport,n008,Wait at intersection; parked cars; cones; peds on sidewalks; parked motorcycle; peds on sidewalks; bus; stroller
deab903b0b644d7a984c552968026631,scene-0735,7,boston-seaport,n008,Cross intersection; flags; stopped bus; parked vehicles; peds; bicycle rack; parking lot; cross intersection; parked bicycle
2f9da038274a4448bdbb83f994fc6381,scene-0736,7,boston-seaport,n008,Parked cars; ped crossing crosswalk; parked motorcycle; peds on sidewalk; turn left; cross intersection; fence; cone
df8dfada99a04a81bd1b102eeb84e9bc,scene-0737,7,boston-seaport,n008,Barrier; cyclist; parked motorcycle; parked bus; cones; truck
d3d94f2ce3dc4db4b3ba6f4aa81c3987,scene-0738,7,boston-seaport,n008,Trailers; peds on sidewalk; barrier; trucks; bendy bus; cross roundabout; cones; parking lots; cross intersection; bicycle
9c7062b34e064d6ab42124f3f0be233d,scene-0749,7,boston-seaport,n008,Wait at intersection; parked large trucks; ped with pet; heavy truck turning close to ego vehicle; avoidance maneuver
82240fd6d5ba4375815f8a7fa1561361,scene-0750,7,boston-seaport,n008,Wait at intersection; parking lot; traffic chaos; truck blocking us; cross busy intersection; cyclist; parked cars
6d6314f1865343f987ca53107b694745,scene-0752,7,boston-seaport,n008,Parked cars; crossing intersection; overtake parked truck
2fc3753772e241f2ab2cd16a784cc680,scene-0757,7,boston-seaport,n008,Arrive at busy intersection; bus; wait at intersection; bicycle; peds
078e6d7a3d4a429bba404bf12c7a98f2,scene-0768,8,boston-seaport,n008,Parked cars; truck overtaking us; peds on sidewalk; bus; turck; construction vehicle; bicycle rack; bicycle; truck
1e9283d1ce98428aaa3b851487eb4f58,scene-0769,8,boston-seaport,n008,Truck; parked cars; ped crossing crosswalk; turn right; parking lot
7061c08f7eec4495979a0cf68ab6bb79,scene-0782,8,boston-seaport,n008,Parked cars; peds; crossing intersection; bus; trailer; cones
40209c4e465d4b4e8341ebd52be0d842,scene-0783,8,boston-seaport,n008,Cars; parked cars; overtaking a bus; peds; parked scooter; truck; arrive at intersection; cones
50ff554b3ecb4d208849d042b7643715,scene-0784,8,boston-seaport,n008,Waiting at intersection; parked cars; bus; peds; flags
19284973bd0342998c37848e931a90d0,scene-0787,8,singapore-queenstown,n015,Parked bicycles; bus stop; peds at bus stop; wait at intersection
74d03e3b673f4a72a3f76e1b0c7840bd,scene-0791,8,singapore-queenstown,n015,Peds on sidewalk; children; cross intersection; high speed; bus stop; parked bicycles
34ca95580d2d4c45a68b471d5afb3e27,scene-0792,8,singapore-queenstown,n015,Ped on sidewalk; peds; parked bicycle; stopped double decker bus
36f27b26ef4c423c9b79ac984dc33bae,scene-0795,8,singapore-queenstown,n015,Motorcycle; cars; trucks; bus; cross intersection; stopped bus; cones; peds on sidewalk
c5224b9b454b4ded9b5d2d2634bbda8a,scene-0796,8,singapore-queenstown,n015,Scooter; peds on sidewalk; bus; cars; truck; fake construction worker; bicycle; cross intersection; car overtaking us
380ff00ec86447e3b986edc8e82ffba7,scene-0798,8,singapore-queenstown,n015,Start at intersection; dense traffic; stopped scooter; parked bicycles; cross intersection; truck; bus; peds
07aed9dae37340a997535ad99138e243,scene-0800,8,singapore-queenstown,n015,Peds on sidewalk; cones; bus; cross intersection; parked bicycle
6741d407b1b44511853e5ec7aaee2992,scene-0802,8,singapore-queenstown,n015,Cones; cross intersection; peds on sidewalk; parking lot; parked bicycle
3a3c0ea9e3ce43918ee1765afd0f1319,scene-0804,8,boston-seaport,n008,Rain; Truck; ped on sidewalk; cars; bus; bicycle; wait at intersection
e5a3df5fe95149b5b974af1d14277ea7,scene-0805,8,boston-seaport,n008,Parked cars; truck; trash can; bus; ped pushing bicycle; wait at intersection
aa54277d163d419b9f952b014112643e,scene-0806,8,boston-seaport,n008,Rain; Wait at intersection; ped push a bicycle; cars; truck; peds on sidewalk; bus
c5b36e5275cc4a2285d095e87347c49a,scene-0815,8,boston-seaport,n008,Rain; wait at intersection; truck; turn right; parking lot; cross intersection; change lanes; parked bicycle; parked cars
0e247ba64b9d4a34a7256b6c173b1b5d,scene-0816,8,boston-seaport,n008,Rain; cones; cars; barrier; trailers; trucks; peds on sidewalk; cross roundabout; bird
64ca274b5f69458bb5d21e0e2e071902,scene-0821,8,boston-seaport,n008,Parking lot; parked trucks; trailers; cones; barrier; cross roundabout
bf753f22bc524274bc359467e0be149c,scene-0848,8,singapore-queenstown,n015,Parked bicycle; jaywalker; bus; peds on sidewalk; cones; parked cars
ea68050d37ea40688241b2dc361ec886,scene-0852,8,singapore-queenstown,n015,Many peds; jaywalkers; cars; parked motorcycle; truck; arrive at intersection
03a8a37d5d444674bae34336e78ac39d,scene-0855,8,singapore-queenstown,n015,Ped on sidewalk; turn right; truck; cars; cross intersection; buses; motorcycle; cones; slope
5dd272b76c3f4e2582040a91f2be2dde,scene-0856,8,singapore-queenstown,n015,Parked buses; parked bicycles; many peds; cone
c6072dd4f7cc47efaad77889aa465ad6,scene-0860,8,singapore-queenstown,n015,Parking lot; peds on sidewalk; jaywalker; parked bicycle; arrive at intersection; wait
748894952b00431186308b387c2f424c,scene-0861,8,singapore-queenstown,n015,Wait at intersection; nature; scooters; peds on sidewalk; ped with umbrella; parked bicycle; taxi; jaywalker; delivery scooter; turn right
c0990deaa8954a54afc86f7710f349a1,scene-0862,8,singapore-queenstown,n015,Motorcycles; parked bicycle; cross intersection; peds crossing crosswalk; car passing by; peds sidewalk
212fd4c9c9174635a7ec76051c8eec9e,scene-0863,8,singapore-queenstown,n015,Turn right; motorcycle; cross intersection; peds on sidewalk; cars; parked bicycle
5d5506d750cc41d8bd33840d5350d7ad,scene-0864,8,singapore-queenstown,n015,Car passing by; parking lot; cones; bus passing by; many peds; parked truck
b09162caded44198b149b4bce3558056,scene-0865,8,singapore-queenstown,n015,Many peds; parking lot; parked bicycle; bus; parked motorcycles; turn right; cross intersection; stopped truck; people on truck
dac50250c406439480be8b44d2c5a634,scene-0866,8,singapore-queenstown,n015,Cross intersection; parking lot; peds on sidewalk; parked motorcycle
40516b7f46e548d19dfee580e9a5afa6,scene-0872,8,boston-seaport,n008,Rain; peds; truck; wait at red light; parked cars; parking lot; parked bicycle
6447a9c30b0140d783871b08104ae7b3,scene-0878,8,boston-seaport,n008,Rain; bus; parked cars; parked scooter; parked bicycle; waiting at intersection
d033fb0d79ea42b9a356fa5162172598,scene-0880,8,boston-seaport,n008,Rain; parked cars; parked bicycle; parked scooter; barriers; fence; bus; cones; turn left; peds
c31adab2faea4db6ae5673eb8a507d00,scene-0882,8,boston-seaport,n008,Rain; wait at intersection; truck; parked cars; peds; parking lot; turn left
3289046b886f4c98a676bd7e6a3c6ef1,scene-0886,8,boston-seaport,n008,Rain; peds; truck; ships; cones; parked cars; barriers; arrive at intersection
dcdea563c77544bb887de11d87619d3c,scene-0888,8,boston-seaport,n008,Rain; peds; truck; cones; parked cars; turn right; parking lot; animal
53e8446852bf488bb1b09ae032918bbd,scene-0889,8,boston-seaport,n008,Rain; wait at intersection; bicycle racks; peds; ped with umbrella; ped crossing crosswalk; ped with bag; parking lot; truck
c77e6ecf108c4c8b80d35d84642c805f,scene-0890,8,boston-seaport,n008,Rain; parking lot; parked cars; truck; wait at intersection; parked bicycles; peds; barriers
782f9486adbd4546a492e69b6697ef70,scene-0891,8,boston-seaport,n008,Rain; parking lot; parked bicycles; parked cars; bicycle rack; turn left; peds; ped crossing crosswalk; cross intersection; barriers
2131d9fd2c48418081875019e35cf6a2,scene-0892,8,boston-seaport,n008,Rain; parked cars; barriers; peds; parked bicycle; parked scooter; bicycle rack; parking lot; crossing intersection
65cfdc10a42e499ea704c617e077afe0,scene-0894,9,boston-seaport,n008,Rain; parked cars; peds; cones; jaywalker; parked bicycle; turn left
e083627747d8499a8c4e94c7abf941e2,scene-0895,9,boston-seaport,n008,Rain; parked cars; cones; peds; car leaving parking garage; cross intersection; construction site; construction vehicle; barrier
881da81bb35a4bdb925e0a2884ee7f0f,scene-0899,9,boston-seaport,n008,Rain; parked cars; peds; cross intersection; parking lot; truck; parked bicycle
7e2d9f38f8eb409ea57b3864bb4ed098,scene-0900,9,boston-seaport,n008,Rain; parked cars; peds; parked bicycle; parking lot; truck; turn left
727214583a2a478094d4f093d20c7060,scene-0902,9,boston-seaport,n008,Rain; parked cars; parked bicycle; parked scooter; bus; cones; peds
3e1f0257a4b8457486651de2d16b61ab,scene-0903,9,boston-seaport,n008,Rain; wait at intersection; bicycle rack; parked cars; bus; peds; ped crossing crosswalk
c164a8e8e8b8489f964f711f472789be,scene-0904,9,boston-seaport,n008,Rain; parked cars; bus; peds; barriers; cross intersection; ped crossing crosswalk; construction site; cones; scooter; arrive at intersection
dce6f3f2bf6b4859abcf3268581969d3,scene-0906,9,boston-seaport,n008,Rain; parked cars; parked bicycle; peds; cones; cross intersection; parking lot; turning right
01e4fcbe6e49483293ce45727152b36e,scene-0907,9,boston-seaport,n008,Rain; turn right; parked cars; parking lot; peds; bus; truck; waiting
d01e7279da2649ef896dc42f6b9ee7ab,scene-0908,9,boston-seaport,n008,Rain; parked cars; truck; parked scooter; cones; ped
a7d073bc435b4356a0a9a5ebfb61f229,scene-0910,9,boston-seaport,n008,Rain; parked cars; sign trailer; construction; construction vehicle; crane; cones; truck; ped with umbrella; cross intersection; bicycle; peds crossing crosswalk; bicyclist; potential jaywalkers
3a2d9bf6115f40898005d1c1df2b7282,scene-0915,9,boston-seaport,n008,Rain; parked cars; turn left; peds; bus; truck; ped crossing crosswalk; suitcase; cones
325cef682f064c55a255f2625c533b75,scene-0916,9,singapore-queenstown,n015,Parking lot; bicycle rack; parked bicycles; bus; many peds; parked scooters; parked motorcycle
223096a415cc45bf8ecd4c3a42251fd7,scene-0917,9,singapore-queenstown,n015,Peds; jaywalkers; nature; parking lot; bus; turn left
76ceedbcc6a54b158eba9945a160a7bc,scene-0919,9,singapore-queenstown,n015,Greeneries; parking lot; parked car; ped; motorcycle
955ff42a1990442d868cdfc0c01583d4,scene-0920,9,singapore-queenstown,n015,Motorcycle; parked cars; peds; truck
112ca771e318478a88cfa692f61ffcac,scene-0921,9,singapore-queenstown,n015,Bus; peds; truck; turn left
c4df079d260241ff8015218e29b42ea7,scene-0926,9,singapore-queenstown,n015,Intersection; turn right; ped on the sidewalk; cars; stopped car; parked vehicles
e036014a715945aa965f4ec24e8639c9,scene-0928,9,singapore-queenstown,n015,Peds on sidewalk; parked cars; intersection; peds on sidewalk; turn right; motorcycle; parked vehicles; tree
a04daf2d0f194b2ab2ff2a47dfebc1d7,scene-0930,9,singapore-queenstown,n015,Intersection; ped on sidewalk; motorcycle; parked cars; bushes
209e9e9c3a2e4a399c44b6aa8be659d6,scene-0945,9,singapore-onenorth,n015,Enter road; turn left; workers; construction; construction vehicle; bus; back up to avoid cone; turn left; many peds
93036f2be8de445aad06b727b848cea5,scene-0947,9,singapore-onenorth,n015,Many peds; jaywalker; parked motorcycle; turn left; parked bicycles
a4fe925930de41489b12b85b77d2f0cb,scene-0952,9,singapore-onenorth,n015,Parked vehicles; construction worker; parked bicycle; peds; parked vehicles; jaywalkers; ped carrying object; ped with backpack; cross intersection
21464a6831c1443db294d1b56a7a33a5,scene-0960,9,singapore-onenorth,n015,Parked motorcycle; motorcyclist; parked bicycle; peds; turn left
5a2aac9df32945d183fc81924ff148b6,scene-0961,9,singapore-onenorth,n015,Construction workers; barriers; construction vehicle; parked car; turn right; parked scooter
e005041f659c47e194cd5b18ea6fc346,scene-0972,9,singapore-onenorth,n015,Parked bicycles; peds; ped walk along the road; parked cars; motorcycle; bus
8383c0b1422b46ad90e2a64ff3e91fcf,scene-0979,9,singapore-onenorth,n015,Many peds; motorcycle; cars; cross intersection; car overtaking us; parked bicycle
a2e8f126913b4f72909e06d881dc5a8b,scene-0980,9,singapore-onenorth,n015,Construction; many peds; lane blocked; switch lane; workers; bicycle rack; truck; parked scooter
2422d2652f4f42298a389a6e0dfef307,scene-0981,9,singapore-onenorth,n015,Construction workers; cones; many barrier; truck; construction vehicle; many peds; wait; barriers; construction zone
8fe2dd6f533646b39c8e81316597c52b,scene-0982,9,singapore-onenorth,n015,Truck; barrier; many peds; cones; cars; wait behind intersection; construction vehicle; arrive at intersection
76c632788f8c4516bef1c4297f2002f6,scene-0983,9,singapore-onenorth,n015,Construction vehicle; cones; peds crossing crosswalk; peds on sidewalk; motorcycle; parked bicycles
37284f813cc74496971ff58f5d37400a,scene-0988,9,singapore-onenorth,n015,Parking lot; turn right; cross intersection; parked bicycle; parked motorcycle; peds
a4bfab3710d4494aa3c9a443c1bf5573,scene-0989,9,singapore-onenorth,n015,Many peds; cross intersection; ped crossing crosswalk; parked bicycle
7f6043918b234b68a61e6caab7a33346,scene-0990,9,singapore-onenorth,n015,Parked bicycles; peds on sidewalk; parking lot; barrier
ca6abd081eaf48689f06b5e8fcc9d369,scene-0992,9,singapore-queenstown,n015,Night; ped in dark; parked cars
