scene_token,name,location,vehicle,num_samples,n_lidar_samples_seen,description,th_barrier,th_bicycle,th_bus,th_car,th_const_veh,th_motorcycle,th_pedestrian,th_traffic_cone,th_trailer,th_truck,vx_drive_surf,vx_other_flat,vx_sidewalk,vx_terrain,vx_manmade,vx_vegetation
265f002f02d447ad9074813292eef75e,scene-0012,singapore-onenorth,n015,40,40,Nature; bus stop; parked cars; bus exits from the intersection,0,0,12,67,0,0,18,0,0,0,450962,33212,67403,602769,423363,1231658
41fde20fedcd4d22ab26811688612870,scene-0013,singapore-onenorth,n015,40,40,Follow bus; parked cars; trash cans; parked bicycles; nature,0,35,40,227,0,6,2,48,0,57,372101,2557,51124,708164,264766,613038
d1e57234fd6a463d963670938f9f556e,scene-0014,singapore-onenorth,n015,40,40,Follow bus; cross intersection; nature,0,33,40,7,0,0,0,0,0,31,643271,8453,236372,1118031,236319,739527
813213458a214a39a1d1fc77fa52fa34,scene-0015,singapore-onenorth,n015,40,40,Narrow road; following bus; bus on opposite lane; parked cars,26,45,71,199,40,0,0,14,0,5,377853,472,105010,580266,365533,742955
efa5c96f05594f41a2498eb9f2e7ad99,scene-0016,singapore-onenorth,n015,40,40,Turn left; people on both sides; parked vans,0,4,0,100,0,1,844,0,0,0,341996,17485,260889,16593,827171,458127
3dd9ad3f963e4f588d75c112cbf07f56,scene-0017,singapore-onenorth,n015,40,40,Barriers; peds; arriving at busy intersection,849,0,0,222,29,11,1135,239,0,84,324911,13328,118364,227694,441004,505429
b51869782c0e464b8021eb798609f35f,scene-0018,singapore-onenorth,n015,40,40,Merge left; turn into unloading zone,796,53,0,476,37,0,1173,621,0,171,406858,16127,136146,130626,392260,497654
de943e246dad4ad686de98008a634ecf,scene-0019,singapore-onenorth,n015,40,40,Turn left; waiting peds; turn left,1148,0,26,90,40,21,849,329,0,16,400251,3741,189086,199361,540677,555971
4d475873416a4860900f5af213e0027c,scene-0020,singapore-onenorth,n015,39,39,Turn right; walking peds; pedestrian in blind spot in couple of frames; car park exit,0,24,0,116,39,0,458,78,0,0,367735,0,188903,128253,525395,377889
03ee880dd4e348f4b3407f0d073c7c70,scene-0021,singapore-onenorth,n015,40,40,Wait at intersection; jaywalkers; parking lot; parked bicycle; turn right; construction; truck,617,40,40,678,40,0,381,153,0,75,351008,0,119290,295690,202436,836807
7e3a6bdd6c6f4c8fb018cff404974446,scene-0022,singapore-onenorth,n015,40,40,Barriers; construction; lane switch; turn left,1312,58,0,120,57,0,254,252,0,21,770113,0,98519,776140,250616,1089826
d0880a386b6d434bb5cd13c134af7a3e,scene-0023,singapore-onenorth,n015,40,40,Overtake parked car; bus turning; motorcycle,40,43,27,63,39,17,293,19,0,0,196393,0,116391,486503,370236,405607
d7ebcbbd26d849b384c11bec8df28a9b,scene-0024,singapore-onenorth,n015,40,40,Intersection; peds in cafe; parked motorcycle; ped crossing,0,0,0,47,0,35,671,5,0,0,234585,2,189981,495472,692864,545112
0c601ff2bf004fccafec366b08bf29e2,scene-0025,singapore-onenorth,n015,40,40,Ped crossing street in front of ego vehicle,0,0,0,109,0,0,822,0,0,0,176914,0,115420,1917,550149,301147
b79d940da8df43d09ee972c2414ffeca,scene-0026,singapore-onenorth,n015,39,39,Parked cars; peds on the roadside,0,0,0,109,0,23,802,0,0,0,292047,5087,305248,12371,884173,540264
1d4db80d13f342aba4881b38099bc4b7,scene-0027,singapore-onenorth,n015,40,40,Delivery motorcycle turns left; veh turn right,129,11,0,179,31,18,381,5,0,0,520136,712,134895,81760,495113,316141
3a1850241080418b88dcee97c7d17ed7,scene-0028,singapore-onenorth,n015,40,40,Taxi parked on road; bicycle rack; many peds; many jaywalkers; parked bicycles; ped exiting taxi; ped crossing traffic light; lane change; peds crossing crosswalk,0,51,0,63,0,0,1205,0,0,0,789853,0,406564,237567,560508,582307
6520b5f0d568414c973f791b30ee1548,scene-0029,singapore-onenorth,n015,40,40,Waiting; peds crossing intersection,0,40,0,227,0,0,1603,0,0,0,188429,0,103282,109839,317838,386961
82aef599650d462db73731b7ff40918b,scene-0030,singapore-onenorth,n015,40,40,Two parked motorcycles; overtake,0,15,0,186,0,74,466,11,0,0,606733,0,406527,406620,573665,805371
f444b757d7e2444c889da10f02b73491,scene-0031,singapore-onenorth,n015,40,40,Construction; workers sitting on grass; garbage,133,0,0,116,0,25,240,0,0,67,456072,12607,112041,650798,154477,1271309
9047b53fd41540649dce014a128cbe1b,scene-0032,singapore-onenorth,n015,40,40,Turn left; motorcycle driving; ped sitting,0,0,0,95,0,23,15,0,0,0,716505,5720,169861,1243167,121286,1239000
6e81ee0f64274490a403bbd6482c2bf9,scene-0033,singapore-onenorth,n015,40,40,Low traffic; following bus,0,0,34,96,0,0,22,0,0,41,267229,44659,62056,1208400,135742,372211
bb73edb93a0a46c4be997c576e9beb61,scene-0034,singapore-onenorth,n015,39,39,No traffic; dead end street; overtake parked truck,0,0,9,55,0,0,0,0,0,32,403229,0,59921,741729,371187,882498
3dd2be428534403ba150a0b60abc6a0a,scene-0035,singapore-onenorth,n015,40,40,Parking lots; trash can; bump; scooter; peds; potential jaywalkers; bus stop; oncoming bus,0,48,12,611,22,17,109,57,0,129,420860,20803,82739,237108,554978,331730
5a0dd8908a3a459b83ec5eb6ac7d0f82,scene-0036,singapore-onenorth,n015,40,40,Parked bicycle; construction; peds; workers; construction vehicle; bike racks,557,34,0,149,43,3,257,432,0,51,453473,7736,111954,331218,406044,534062
2f56eb47c64f43df8902d9f88aa8a019,scene-0038,singapore-onenorth,n015,40,40,Parked construction vehicles; peds; garbage,0,14,0,40,0,45,83,79,0,138,217057,0,63071,370632,251103,286921
8edbc31083ab4fb187626e5b3c0411f7,scene-0039,singapore-onenorth,n015,40,40,Busy street; parked cars; parking lot; ped sitting at bus stop; motorcycle driving,42,67,39,453,17,40,76,67,0,29,310020,20172,69107,196459,487217,320999
359f9c029ae44e1d9d47c05bc7915561,scene-0041,singapore-onenorth,n015,40,40,Turn left; arrive at busy intersection; red light,427,22,0,102,0,0,0,95,0,81,368986,3064,94608,713165,141565,301080
c6c092a66329470f836714f46b92d59b,scene-0042,singapore-onenorth,n015,41,41,Parked cars; many peds; parked bicycles; trash can; parking lots,0,76,0,200,0,6,408,199,0,60,649882,984,118168,263821,483391,773641
70368a18644046f898ab836fc8a3c03f,scene-0043,singapore-onenorth,n015,39,39,Busy intersection; oncoming traffic; construction zone on the left,742,74,0,298,72,69,527,151,0,123,284289,1626,52920,70575,368220,354293
8758419c03ab47a59ea6d6620176f3a3,scene-0044,singapore-onenorth,n015,40,40,Truck turns; parked cars; bump; bikes,0,71,0,148,18,0,49,6,0,29,328741,52,66387,684412,362772,615420
eac3102e4cc24d4b95532bcc711a902f,scene-0045,singapore-onenorth,n015,39,39,Full parking lot; peds; exiting from car park,0,47,33,1224,0,269,201,55,0,59,314261,2742,71776,95905,770550,156909
798e8504b4364d378270333a349ef508,scene-0046,singapore-onenorth,n015,39,39,Busy intersection; ped crossing; waiting for traffic light; construction zone on the left,762,49,0,274,72,39,554,48,0,8,299806,77,72260,75573,318728,319548
4047f251c21a475abb49518e0fa6fa9e,scene-0047,singapore-onenorth,n015,40,40,Construction workers close to road; vehicle turn out; cross intersection,1155,12,6,158,39,21,396,211,0,34,444210,7539,109819,443611,392952,786191
cf550d9670274ac1a7f274fbacb39c48,scene-0048,singapore-onenorth,n015,40,40,Construction; narrow road; construction workers; heavy construction vehicles; right turn,494,8,0,143,71,11,102,198,0,40,520503,0,179663,320733,268790,706930
095d9b93b583425f910ae2afaf1d017d,scene-0049,singapore-onenorth,n015,39,39,Construction; barriers behind net; parked trucks; excavators; turn left,896,11,0,162,65,0,182,53,0,106,781076,2048,49723,779810,329382,919495
9a81caa3d5134d7f87ee4786ccef68f7,scene-0050,singapore-onenorth,n015,39,39,Narrow street; seveal peds; shadows; turn left; parked motorcycle,0,12,12,81,0,23,368,0,0,36,275196,217,266329,235496,822382,521925
0e37d4a357db4246a908cfd97d17efc6,scene-0051,singapore-onenorth,n015,39,39,Pass parked vehicles; peds; arrive at intersection,423,3,0,88,30,0,204,8,0,0,319654,67896,68584,474086,386057,499534
37b32e4e8cf846679b2c0cb342dbd4aa,scene-0052,singapore-onenorth,n015,40,40,Oncoming car in the same lane; overtake parked car; turn left,54,0,0,90,19,22,66,37,0,65,208493,442,71395,391075,118035,606231
6d4b2bd795ae4c66900ad98ccd2371a6,scene-0053,singapore-onenorth,n015,39,39,Cross intersection in group of cars; peds; bike rack,0,60,0,362,0,0,354,0,0,39,669356,14646,147050,310255,438693,466538
8b43539a55374b6c8ed60c95a42d63a2,scene-0054,singapore-onenorth,n015,39,39,Turn left; many parked heavy trucks; workers,0,12,0,112,13,47,87,67,0,273,277321,0,19470,443111,247187,271919
446af4b1d7da4735a607bc3e45c2e0b3,scene-0055,singapore-onenorth,n015,40,40,Bus stop left; parked cars right; oncoming bus,76,0,51,95,10,3,136,73,0,38,456932,0,72688,453093,357329,1340618
83773bcf46ac486383529098de0542dd,scene-0056,singapore-onenorth,n015,41,41,Peds; nature; construction; trash can; parked truck; turn right,0,0,5,139,0,1,102,0,0,66,429585,0,217496,581962,160153,1143117
433a14f8dcf5457fb2c4def5c749122a,scene-0057,singapore-onenorth,n015,39,39,Jaywalkers; parked bike and scooter; parked car on the main road,21,29,32,152,0,34,358,18,0,70,845848,3621,373792,350689,523664,695704
9a1188aba4bf458c8220818a6c0be55a,scene-0058,singapore-onenorth,n015,39,39,Construction; strange cleaning vehicle parked on our lane,814,43,0,321,50,30,131,49,0,96,394198,0,95460,414629,182864,1156188
dcd5bc29543747e28ef02816dd458290,scene-0059,singapore-onenorth,n015,41,41,Wait at intersection; bike on sidewalk; worker blowing leaves,0,41,31,104,0,41,162,0,0,50,61851,0,48473,144053,106561,398125
bb028034cb474e3da8953f83752a70a9,scene-0060,singapore-onenorth,n015,40,40,Wait at intersection; bike on sidewalk; worker blowing leaves; bicycle crossing,0,28,0,96,0,40,72,0,0,43,70357,0,65520,160761,116887,430768
cc8c0bf57f984915a77078b10eb33198,scene-0061,singapore-onenorth,n015,39,39,Parked truck; construction; intersection; turn left; following a van,1540,68,32,348,64,59,1393,1003,0,157,409855,37389,98466,173874,360021,479258
762e6aac0d6f4c1b9b0286ab4b2da654,scene-0062,boston-seaport,n008,39,39,Change lane; parked cars; overhead walkways,0,0,0,297,0,0,0,228,0,54,401425,9771,36633,0,370056,334
a8819942e8bb43b6a832c56dfb78cfc6,scene-0063,boston-seaport,n008,39,39,Exit passage; parking lot; flag; trucks; wait at intersection,0,0,0,1043,0,0,0,489,46,135,398082,3449,271455,33219,409081,307795
7ad94b6e54f641208bf59cba6bb55220,scene-0064,boston-seaport,n008,40,40,Parking lots; oncoming special electrical vehicle,0,0,0,2149,0,0,0,78,0,171,543580,10230,125505,11900,182108,235418
59530445fcc04c2090bfaf63f342f794,scene-0065,boston-seaport,n008,40,40,Wait at intersection; truck; peds; turn right; parking lot,434,0,52,963,27,0,112,43,59,148,545908,3371,97312,166844,262880,423848
30e77a3561ce4f1bb4fd90e322ea29d7,scene-0066,boston-seaport,n008,39,39,Parking lots; parked truck; construction; congestion; worker directing traffic; passing cars,0,0,77,1925,78,0,257,553,38,132,270110,0,120976,38154,273136,281727
cb0cd06a1dd84271968466d7b65e48f8,scene-0067,boston-seaport,n008,40,40,Exit construction; ped on crosswalk; construction workers; parking lot,0,0,40,826,80,0,387,914,14,220,363702,0,227272,199885,296876,645700
b0b26c1e5a1140e69598422f12ae1dc0,scene-0068,boston-seaport,n008,39,39,Two turning trucks; wait; turn left,17,0,80,1009,64,0,98,61,25,80,456389,0,147525,61239,540821,317636
a5d7cc4bf3404cccb89932d94ccb9da6,scene-0069,boston-seaport,n008,40,40,Turn left; peds near parked bus; bird,0,0,97,409,0,51,203,100,39,210,521982,212,112169,124595,331683,371817
c0cb50847c3949a0b4baf2e200ac897c,scene-0070,boston-seaport,n008,40,40,Peds; ped with bag; bus stop; parking lot; turn right; follow cyclist; trailers; turn left,0,35,15,972,31,0,143,6,224,405,598621,3675,77008,112405,278524,544263
860ef56791a947baadb27dd00bd5d4b3,scene-0071,boston-seaport,n008,40,40,Parked trucks; construction vehicles; road blocked relative to baseline route; find deviation,0,0,34,127,73,0,57,59,344,192,559477,5735,0,92,418445,3595
fbf27198b3424e28ab1de2a12eb3dc4a,scene-0072,boston-seaport,n008,40,40,Wait at intersection; running ped,198,0,0,778,0,0,222,0,40,282,354587,0,90481,96852,274327,409373
5557f4edc1464442812293e2ea90a586,scene-0073,boston-seaport,n008,40,40,Parked scooter; flock of pigeons; person sitting on top of bench; two trucks passing; turn right,0,0,0,268,0,64,377,51,96,190,445703,0,85132,132301,294287,256441
78c5f7d7b547483c906d8524a8c3190f,scene-0074,boston-seaport,n008,40,40,Wait at intersection; turn left; bike rack; parked cars; peds,0,31,0,1371,0,0,372,54,0,69,472319,0,185024,126221,483222,423902
01c3f5e39956402da3e37845632fadca,scene-0075,boston-seaport,n008,39,39,Parked cars; oncoming semi; two oncoming bikes; parked motorcycle; bike rack,0,64,0,894,0,32,170,0,28,109,516758,7491,130564,94204,558554,289221
e9a94a93c36a4adb831eb67ec8bdf289,scene-0076,boston-seaport,n008,40,40,Turn right; follow cyclist; turn right,27,37,0,870,0,32,64,74,7,37,806204,0,158614,34285,359877,430780
7365495b74464629813b41eacdb711af,scene-0092,boston-seaport,n008,40,40,Drive through passage; peds walking alongside lane,426,0,0,385,0,0,183,144,0,92,376352,13542,39136,0,398535,0
cba3ddd5c3664a43b6a08e586e094900,scene-0093,boston-seaport,n008,39,39,Turn right; parking lots; cross intersection,191,0,31,1049,0,0,82,56,0,240,604057,18437,120150,109102,161107,572706
91c071bcc1ad4fa1b555399e1cfbab79,scene-0094,boston-seaport,n008,40,40,Oncoming cyclist; cars; wait at intersection,0,17,0,469,51,0,68,62,0,68,596005,56736,127959,64139,338887,200084
b4b82c4d338a4b6d86835388ce076345,scene-0095,boston-seaport,n008,39,39,Wait at intersection; peds occluded; start driving,0,2,0,692,39,0,240,0,0,78,244954,52263,81228,21455,228085,62007
68e79a88244f447f993a72da444b29ba,scene-0096,boston-seaport,n008,39,39,Cross busy intersection; cyclist nearby; construction barriers and cones,692,31,0,502,84,0,241,312,0,139,450006,58200,128674,127841,271293,124593
2eb4d7f00e584a548aa0b899638bfb0a,scene-0097,boston-seaport,n008,39,39,Wait at red light; turns green; cross intersection,373,0,0,516,46,0,355,312,30,53,510216,42307,199780,147375,314884,183177
c65c4acf86954f8cbd53a3541a3bfa3a,scene-0098,boston-seaport,n008,39,39,Parked cars; peds; bus stop; bicycle rack; sign trailer; bicyclist; ped carrying object; bridge,90,55,13,451,0,0,142,80,33,4,406854,53417,175178,1160,258111,127762
5af9c7f124d84e7e9ac729fafa40ea01,scene-0099,boston-seaport,n008,39,39,Parked vans; switch lane; construction zone in the right; bike following in rear; passed by active motorcycle,0,39,0,796,9,27,157,729,13,111,467947,0,121056,39258,596174,34803
afd73f70ff7d46d6b772d341c08e31a5,scene-0100,boston-seaport,n008,40,40,Wait at red light; oncoming cyclist; peds; parked bicycle; parked construction car,40,110,0,458,40,0,146,872,0,120,178866,1025,32861,51159,324744,16123
01452fbfbf4543af8acdfd3e8a1ee806,scene-0101,boston-seaport,n008,40,40,Concrete mixer spinning; traffic cones; wait at red light; move onto bridge; lane change,77,33,40,522,40,0,473,1199,0,87,391628,0,86780,73895,581779,7649
ddb615d9bb22484cabc6545b632a1025,scene-0102,boston-seaport,n008,40,40,Turn right at intersection; cross bridge; many peds,0,0,81,257,0,0,1145,0,0,62,311802,0,91055,4062,416632,146760
fcbccedd61424f1b85dcbf8f897f9754,scene-0103,boston-seaport,n008,40,40,Many peds right; wait for turning car; long bike rack left; cyclist,0,30,0,970,0,27,931,39,0,38,451793,274,200332,5089,717960,128170
c525507ee2ef4c6d8bb64b0e0cf0dd32,scene-0104,boston-seaport,n008,39,39,Start car; cross intersection; skyscraper occluded by traffic light; parked bicycles; parked cars; cross intersection,0,99,20,730,0,18,868,15,0,29,340028,1054,117228,8400,674211,19628
2ed0fcbfc214478ca3b3ce013e7723ba,scene-0105,boston-seaport,n008,39,39,Parking lots; peds; parked cars; cars on elevated bridge; truck,517,0,0,2363,0,0,130,331,0,35,559915,32666,126376,1379,200018,4746
bed67ef03c4a4066a74f6c0117d512ee,scene-0106,boston-seaport,n008,40,40,Drive between buildings under construction; slow down at intersection; several traffic cones and temporary barriers,1402,0,0,672,44,39,185,517,21,136,466787,22850,54513,8238,562967,1453
3b2ee26cb8484f77895bc336663df502,scene-0107,boston-seaport,n008,40,40,Cross busy intersection; bendy bus changing lane,561,6,58,362,0,0,177,156,40,144,768840,56259,141314,64457,537601,122431
a178a1b5415f45c08d179bd2cacdf284,scene-0108,boston-seaport,n008,39,39,Construction zone; waiting for car to pass; turn right,638,27,0,436,88,0,519,211,0,106,452111,0,107957,6980,382994,237788
fb73d1a6c16147ee9416faf6b310fadb,scene-0109,boston-seaport,n008,40,40,Cross roundabout; construction vehicle; ped walking along the road side,524,0,8,311,106,0,282,268,188,277,508357,42322,98238,70360,278543,134037
d87ec0461e3f4c4ea29b0f0c0ede5167,scene-0110,boston-seaport,n008,40,40,Parked car with open bonnet; parked cars; oncoming truck; oncoming cyclists,0,14,15,590,22,0,154,28,87,247,419227,1970,111506,110540,409311,400594
a1ca2ba59ac9452fb3da60019bf32c71,scene-0120,singapore-onenorth,n015,40,40,Parked motorcycles; parking lot; wait at intersection; truck; ped very close to ego-vehicle,0,33,27,1116,0,134,189,150,0,32,337687,2637,39697,122553,759506,153936
ce2d6bdc33084dc1a2780f41f6740e06,scene-0121,singapore-onenorth,n015,40,40,Peds; follow motorcycle; motorcycle turns right,0,0,0,141,0,31,171,28,0,0,464564,18542,76170,249741,645322,181185
e6cb595f6df44b3999db28c65f2244ac,scene-0122,singapore-onenorth,n015,39,39,Fast motorcycle on street ahead; stop; parked bicycles; turn right,0,104,22,137,0,13,0,0,0,0,312414,933,79284,567612,94830,143201
cb3ef7b7ef124983b336c781f134cdfb,scene-0123,singapore-onenorth,n015,40,40,Monument; truck; peds; turn left; downhill,0,0,0,55,0,0,141,55,0,27,402529,2255,92921,529486,264433,629514
bed8426a524d45afab05b19cf02386b2,scene-0124,singapore-onenorth,n015,40,40,Many peds; parked buses; parked cars,0,66,96,344,0,31,572,179,0,43,551661,0,98030,273887,493152,497538
36fbee38a28543ea9e27a67d64e1dee4,scene-0125,singapore-onenorth,n015,40,40,Many parked cars; animal; many peds; wait at intersection,0,16,36,246,0,9,301,0,0,109,285469,8766,91041,155472,428787,199689
00590cbfa24a430a8c274b51e1c71231,scene-0126,singapore-onenorth,n015,40,40,Delayed left turn; jaywalker; parking lot; bus stops; parked bicycle; truck; turn right,0,15,0,216,0,0,216,54,0,49,357751,17160,92069,247191,545848,322429
52b30ecd104a4f4eab6f8f5684a73e56,scene-0127,singapore-onenorth,n015,40,40,Enter car park; jaywalker; parked motorcycles; pass a bus,0,4,40,1033,0,153,111,143,0,141,339486,4961,32590,123365,685438,201474
5c9bd7ead37e4aa9989f7909f3a78baa,scene-0128,singapore-onenorth,n015,40,40,Parking lot; parked scooters; parked cars; ped; cross crosswalk; bump; parked bicycle,0,17,38,784,0,29,142,48,0,50,270128,0,35293,209301,371889,237251
ef5f216134a94e308697ab4c75402a20,scene-0129,singapore-onenorth,n015,40,40,Parking lot; cross crosswalk; go over bump; construction; peds; scooter on main road,69,4,31,1337,0,6,116,108,0,3,219389,0,101038,182532,533959,513263
dc6235e2281943548084c484cb38b876,scene-0130,singapore-onenorth,n015,40,40,Peds crossing at crosswalk; drive along parked cars; ped; workers kneeling,31,16,0,1325,0,1,234,198,0,0,238904,0,79086,98631,571119,451735
8857cf15fa7049a6b000490835d3b9fc,scene-0131,singapore-onenorth,n015,40,40,Parking lot; peds,0,0,26,790,0,0,250,84,0,0,294001,4935,34116,240298,494202,364211
4f28b42169f4404cbab4b43476e13885,scene-0132,singapore-onenorth,n015,40,40,Parked cars; turn left; parked bus,0,0,32,937,0,75,0,0,0,40,326970,0,14896,143088,414625,161656
f57957ebc5654b649a0786d993b64be4,scene-0133,singapore-onenorth,n015,40,40,Drive through parking lot; stopped bus; parked scooters; parked motorcycles; peds; parked trucks; approach barrier,0,11,40,1206,0,139,109,3,0,61,353554,0,35686,76264,659910,179817
d90b94e8bfd446cd9407f48665122268,scene-0134,singapore-onenorth,n015,40,40,Approach intersection; fence; turn left; peds in sidewalk,0,95,42,509,0,0,190,228,0,44,384575,22112,107479,214733,585002,194417
4db0eee3b82d49b198c1a411cf7f7d68,scene-0135,singapore-onenorth,n015,39,39,Heavy traffic; sitting peds; parked motorcycles; 2 jaywalkers; turn right; busy intersection,223,0,11,173,0,32,444,97,0,63,334976,9011,63494,104403,415023,377935
7365754410624f2f85087003f4ed41ad,scene-0138,singapore-onenorth,n015,40,40,Bus stop; parked bicycles; bus stop; bicycle rack; peds,0,37,0,75,0,0,127,0,0,0,221094,0,39531,787801,280675,556071
01c8c59260db4a3682d7b4f8da65425e,scene-0139,singapore-onenorth,n015,40,40,Ped standing; ped sitting; two parked motorcycles on road,0,0,23,79,0,49,401,38,0,12,549211,19127,80586,210278,660123,191131
1fbcc26ebf6948bb964d3ae74939e8ea,scene-0149,singapore-onenorth,n015,40,40,Wait at intersection; turn left; bushes; bus stops; peds; parking lot,0,0,2,744,0,0,319,34,0,102,408049,16164,80727,315722,554672,370070
94f224a2a36c4bbbab59120cc6c31f6e,scene-0150,singapore-onenorth,n015,39,39,Oncoming scooter; scooters; busy intersection; walking peds,164,0,30,304,0,110,754,110,0,91,295600,6816,54847,119270,463848,375389
ba76f4185aa34ed3bff467ac640da902,scene-0151,singapore-onenorth,n015,40,40,Turn right; busy intersection; construction; peds; parked bicycles; construction vehicle; motorcycle,940,40,0,304,41,17,565,330,0,81,677856,61610,120455,244088,378555,593933
bd210a5bc7004d8c94b68cf6366612a2,scene-0152,singapore-onenorth,n015,39,39,Parked bicycles; bump; overtake parked buses; irregularly parked cars,108,39,54,160,0,0,37,43,0,122,342104,942,88838,428884,191744,600008
12cd5f88732749a58725528bb3d86958,scene-0154,singapore-onenorth,n015,39,39,Turn left; peds at restaurant; parked bicycles; autonomous vehicle; parked vehicles; passing at narrow street; taxi; ped with bag; sitting ped,0,24,0,274,0,0,300,0,0,0,173763,3304,155324,510417,491843,476429
cd1a8954ff904333bb13fa1a6ee526fd,scene-0155,singapore-onenorth,n015,39,39,Jaywalkers; turn left; stop for ped crossing; turn left; peds sitting in a restaurant,0,74,0,66,0,0,919,0,0,2,204619,6368,226517,119763,811826,564847
d0b2d916178a402a842c88f394d7d7e8,scene-0157,singapore-onenorth,n015,40,40,Passing scooter; wait at intersection; turn right,0,0,11,93,0,21,0,0,0,0,174538,0,123218,493746,90631,1001481
c0d3796765e2452d990309b2568adac5,scene-0158,singapore-onenorth,n015,40,40,Worker stopped ego car; worker removes cones; follow truck; heavy traffic; construction; peds,697,0,44,235,40,0,405,826,0,126,263962,22558,45000,229328,284514,424545
73d9a36f20594e658020ebfc5b0ba74a,scene-0159,singapore-onenorth,n015,39,39,Peds crossing crosswalk; barrier being pushed across crosswalk; turn left; peds,638,16,37,220,34,0,916,249,0,175,456459,29466,59049,209600,355591,548542
9eaabad9385b4fe1b9f397edead326ac,scene-0160,singapore-onenorth,n015,40,40,Wait for oncoming car to pass; narrow road; parked cars,0,0,0,199,0,0,441,0,0,0,125538,2930,43284,140746,137679,720315
0d2cc345342a460e94ff54748338ac22,scene-0161,boston-seaport,n008,40,40,Car overtaking; parking lot; peds; ped exiting car; objects on the ground,0,0,0,1513,0,0,197,0,0,237,174652,1877,31199,31256,305570,134458
bc4fd5a05a004333b9411754630f4cba,scene-0162,boston-seaport,n008,40,40,Leaving parking lot; parked cars; hidden ped,0,0,0,1793,0,8,77,35,0,324,345413,0,149271,113944,607292,226469
6ab3d1e9476d4cd89d4949d69d056901,scene-0163,boston-seaport,n008,40,40,Drive along street with dozens of parked cars; bicycle rack,0,0,0,1197,0,2,87,15,0,281,434390,6862,114556,58288,607436,313500
75a4ec12042542149b0a77a0a10d6330,scene-0164,boston-seaport,n008,39,39,Turn into narrow street; parked cars; parked motorcycles,0,0,0,599,0,30,0,53,0,84,851126,8427,133132,87326,438686,208955
8fbbe701baf641359129ea166e1674ec,scene-0165,boston-seaport,n008,40,40,Pass crane; truck and construction workers; long loaded truck,72,0,0,372,67,0,238,527,65,108,454058,12761,28036,0,409446,135
15e1fa06e30e438a98430cc1fd0e8a69,scene-0166,boston-seaport,n008,39,39,Leaving narrow street; many cars,0,0,0,624,94,0,48,274,50,246,561261,3147,132029,23129,440364,200350
448cf480b0b8400a86881d28c2c5f734,scene-0167,boston-seaport,n008,40,40,Pass parked trucks; sitting pedestrians; turn right,15,15,0,1125,0,0,45,14,173,87,472283,5475,95064,87610,276443,247663
