scene_token,name,part,location,vehicle,num_samples,anchor_for,description
59ff984c3143486da7d2c4ffec023b36,scene-0291,3,boston-seaport,n008,39,,Big street; construction; SUV overtaking
3bc4553925494890a21ef7a15c40eaed,scene-0297,3,boston-seaport,n008,39,,Right turn; peds crossing; cross intersection; cyclist
f123185f3bb64faebc08d4453aec2659,scene-0304,3,boston-seaport,n008,39,,Cross intersection; turning truck; parked truck
7540f31d12f1439db67a50be7726c70d,scene-0306,3,boston-seaport,n008,40,,Parked cars; bicyclist waiting in the middle of the intersection
69ee276c40644ddbb7fe21c613cd7689,scene-0321,3,boston-seaport,n008,40,,Ped; heavy traffic flow; peds; parked car
9d1307e95c524ca4a51e03087bd57c29,scene-0331,4,boston-seaport,n008,39,trailer,Heavy truck; container; turn left
6d872d1448814fd189e631b1187c3771,scene-0344,4,singapore-onenorth,n015,40,,Wait at intersection; construction; bus; scooter
fcc020250f884397965ba00c1d9ad9e6,scene-0345,4,singapore-onenorth,n015,39,,Cross the intersection; construction; scooter; turn right; parked buses; navigated through traffic cones
1d914f73a4a243c3acac50d24f083aac,scene-0352,4,singapore-onenorth,n015,40,barrier,Follow concrete truck; construction; traffic cones on the opposite side of the road
6746ba640c0e45c7961efbe6af51757e,scene-0353,4,singapore-onenorth,n015,39,,Start at intersection; cross intersection; construction; parked bicycle; stop at intersection
312102fd97de4bd4859374946e24ccdc,scene-0354,4,singapore-onenorth,n015,39,,Start at intersection; truck; bus; construction zone; parked bicycle
2f093cad7209436aa06e103bfe062857,scene-0355,4,singapore-onenorth,n015,39,,Construction worker; construction; blocking us; then giving sign to start
7bcc4753bdb64d2cb407b55cc4e4527f,scene-0356,4,singapore-onenorth,n015,39,,Arrive at intersection; construction; digger turning; peds crossing; bus
f0294478e1994642bac453f1e84610df,scene-0357,4,singapore-onenorth,n015,41,,Wait at intersection; digger turning; peds; construction; worker putting down cones
2121cc12888e47ce856dc5391f202594,scene-0358,4,singapore-onenorth,n015,40,,Wait at intersection; construction; heavy vehicle reversing; several peds waiting for crossing
8dd4349e80c345afac455cf76074f028,scene-0365,4,singapore-onenorth,n015,40,,Jaywalker; offloading truck; parked bicycle
54cdaaae372d421fa4734d66f51a8c48,scene-0368,4,singapore-onenorth,n015,40,,Arrive at busy intersection
a1b51c02d8414856a86c0c37e4789c2f,scene-0369,4,singapore-onenorth,n015,40,,Start at busy intersection; turn right; multiple scooters crossing
0cc28fe2c1064fb9a51f1647c28ca564,scene-0377,4,singapore-onenorth,n015,40,bicycle,Lane change; cyclist on side walk; construction; left turn
fdf4384c1fce4a16aad939d8417bccd6,scene-0378,4,singapore-onenorth,n015,40,,Construction zone; excavator; workers; nature; parked buses; ped
2dc89e0f9c6c4dbab908d341fab020c6,scene-0382,4,singapore-onenorth,n015,40,motorcycle,Turn left; parking lot; peds; parked motorcycles
d0de3bf834b747179080898725b0f21d,scene-0385,4,singapore-onenorth,n015,40,,Turn left; construction; peds; parked bicycle; turn left
d987908d74794138b07d1237887bb441,scene-0392,4,boston-seaport,n008,40,,Cross intersection; bicyclist crossing; school bus; bicycle rack; jaywalker; peds; parked scooter
ced236f5da704cbcb41249bb6ecc8b68,scene-0401,4,singapore-hollandvillage,n015,40,,Turn right; residential area; construction; narrow road; motorcycle
88abbe4f3b37466791b2ae58490044d9,scene-0427,5,singapore-queenstown,n015,41,,Parking lot; many peds; bump; buses; congestion
240d15482599449a9bd0432fbfa688ab,scene-0428,5,singapore-queenstown,n015,41,,Avoid congestion; drive uphill; barriers; peds in sidewalk
2a721a8d80e04e4e82709e6150f5196a,scene-0437,5,singapore-queenstown,n015,40,,Low traffic; cross intersection; crosswalk; truck; bus
261e8288cf5647e396ab584e210e4ba1,scene-0439,5,singapore-queenstown,n015,41,,Parking lot; peds; parked bicycle
bed12977df5a41dcb97ac69eeae3682c,scene-0445,5,boston-seaport,n008,40,,Rain; parking lot
e757a98aa8794d448f65f5966b8ac954,scene-0447,5,boston-seaport,n008,40,trailer,Rain; parking lot; turn left
2575c1870ede486b8568279b4731e47e,scene-0448,5,boston-seaport,n008,41,trailer,Rain; parked trailers; parked trucks; fence; excavator; barriers; parked cars
df0c3cb16cde410eba8eea191765515c,scene-0455,5,boston-seaport,n008,41,,Rain; bus; jaywalker; parking lot; parked bicycle; peds; bicycle rack
36e3167610cc48eabcaad06a72479ac7,scene-0462,5,boston-seaport,n008,41,,Rain; cross intersection; parking lot; construction vehicle
48ba943c3d19463a81281bf6a7078eac,scene-0463,5,boston-seaport,n008,40,,Rain; FedEx truck loaded on trailer; true cone loaded on a van; arrive at intersection; parked cars; several active trucks
64a3a2d22172406c848f2a92275808ba,scene-0465,5,boston-seaport,n008,41,,Rain; start at intersection; wet ground; traffic cone loaded on a truck; car overtaking us
010fb5bcc7984d0f8f07f99e02366df1,scene-0471,5,boston-seaport,n008,40,,Rain; parked cars; construction
54ec146682e24683becfeab4124e8402,scene-0472,5,boston-seaport,n008,40,traffic_cone,Rain; construction; wheel barrows
27dc2edfb6524c7d8997ac3573ed2f3d,scene-0504,5,boston-seaport,n008,39,,Construction zone; cross intersection; peds crossing crosswalk; oncoming bus at intersection; parked car entering the road; sign trailer; bridge
aee27b55da77468ba444357348f5cf88,scene-0507,5,boston-seaport,n008,41,,Parked cars; peds; construction zone; oncoming truck; peds walking on road
862a468e56954dc9a833a9eb3ebd884b,scene-0508,5,boston-seaport,n008,41,,Construction zone; roundabout junction
55638ae3a8b34572aef756ee7fbce0df,scene-0517,5,boston-seaport,n008,40,,Construction zone; constructing vehicles; pedestrian; parking lot
2abb3f3517c64446a5768df5665da49d,scene-0522,5,boston-seaport,n008,40,,Parked bicycle; pedestrian; parked cars; cyclist; construction zone
d7bacba9119840f78f3c804134ceece0,scene-0523,5,boston-seaport,n008,40,,Oncoming bus; parked car on center divider; pedestrian; roundabout; parked trucks
3034b3f33e1d49f4a7b6c84bdea57004,scene-0537,6,boston-seaport,n008,41,const_veh,Construction zones; construction vehicle; pedestrian; oncoming vehicles
5890face846e47a899246159b7c30bd7,scene-0538,6,boston-seaport,n008,41,,Ton of pedestrians in park; parking lot; parked motorcycles; parked bicycles; jaywalkers
2f0e54af35964a3fb347359836bec035,scene-0539,6,boston-seaport,n008,41,,Jaywalkers; bicycle racks; bus; parked scooters; parked bicycles; many peds; cross intersection
16e50a63b809463099cb4c378fe0641e,scene-0552,6,boston-seaport,n008,41,bus,Bendy bus; school bus; parking lot; turn left; parked bus; overtake truck
6f83169d067343658251f72e1dd17dbc,scene-0553,6,boston-seaport,n008,41,,Wait at intersection; bicycle; large truck; peds crossing crosswalk; ped with stroller
3363f396bb43405fbdd17d65dc123d4e,scene-0555,6,boston-seaport,n008,40,,Cross intersection; construction; big truck
0e7ede02718341558414865d5c604745,scene-0559,6,boston-seaport,n008,41,,Passing intersection; pedestrian; parked cars; construction zone; construction vehicles
ed242d80ccb34b139aaf9ab89859332e,scene-0561,6,boston-seaport,n008,40,,Wait at intersection; turning left; cars turning together; parking lot
54f56f80350b4c07af598ee87cf3886a,scene-0565,6,boston-seaport,n008,40,,Turning right; pedestrian with suitcase; pedestrian; construction zone; parked car
0b8948ee96ac46faad405bf1ffc70bb1,scene-0570,6,boston-seaport,n008,40,,Rain; wait at intersection; turn right; bus; truck; many parked trucks
f0f120e4d4b0441da90ec53b16ee169d,scene-0578,6,boston-seaport,n008,41,,Rain; cross intersection
5d709891c41d423687ae4ea0473cb9c4,scene-0585,6,boston-seaport,n008,41,,Rain; construction vehicles; cross intersection
64eef73c4f564a3db415e965f6460012,scene-0586,6,boston-seaport,n008,41,const_veh,Rain; construction; parked car; close to intersection
0287702725184161af95373198546a59,scene-0587,6,boston-seaport,n008,41,,Rain; wait at intersection; truck
590b4e5a4f94426ab3b1a66f35e140d5,scene-0588,6,boston-seaport,n008,40,,Rain; turn right; parking lot
d8a5dd6087de4e808c61c27f91e8216e,scene-0590,6,boston-seaport,n008,40,,Rain; cluster of traffic cones; wait at intersection; bendy bus
28db6ee9a8d34e9e88e741817b6733c1,scene-0591,6,boston-seaport,n008,41,,Rain; cross intersection; wait at intersection; statues
9c5dc664216e43a99d5da3f23d373e4d,scene-0592,6,boston-seaport,n008,41,,Rain; wait at intersection; turn left; huge truck; scooter
66461d94f2e44d39a90843ff2dce11e8,scene-0594,6,boston-seaport,n008,40,,Rain; turn right; arrive at intersection; big trucks
c4ab236557c8423caa8add5fb48a0898,scene-0596,6,boston-seaport,n008,41,,Rain; wait at intersection; start at intersection; peds; large truck; dog; turn left
d4c5db6faa9f443795ad86561e9e556e,scene-0599,6,boston-seaport,n008,40,trailer,Rain; peds; construction; turn right; containers; cyclist
bd22f197e9f648cba8e307869479629b,scene-0600,6,boston-seaport,n008,41,bus,Rain; parked busses; parking lot
3ada261efee347cba2e7557794f1aec8,scene-0626,6,boston-seaport,n008,40,,Rain; construction; bendy bus; roundabout
3045ed93c2534ec2a5cabea89b186bd9,scene-0637,6,boston-seaport,n008,40,,Rain; parked cars; peds; jaywalker; water reflections; parked bicycle; ped with umbrella; cross intersection
e02aee6f1fec4d13ad77044466da5fb4,scene-0641,6,boston-seaport,n008,40,,Rain; cross intersection; parked cars; change lane; arrive at intersection
38b3010304734913bb148d17ebbc352b,scene-0645,6,boston-seaport,n008,41,,Rain; parked cars; wait at intersection; ped crossing crosswalk; turn right; truck
37cfda558193400bbe3a5ff14ae4606e,scene-0647,6,boston-seaport,n008,41,bus,Rain; parked cars; parked buses
a6fae4900f8e46cba689b59b5bc8a2ab,scene-0648,6,boston-seaport,n008,40,,Rain; cross intersection; reflections; bicycle rack; bus
08110c8640454affb5167801442a85fd,scene-0653,6,boston-seaport,n008,41,,Parked cars; jaywalkers; parked truck
bebf5f5b2a674631ab5c88fd1aa9e87a,scene-0655,6,boston-seaport,n008,41,,Parking lot; parked cars; jaywalker; bendy bus; gardening vehicles
ab7f4909bc6c4841a12020355a7d505c,scene-0656,7,boston-seaport,n008,40,,Parked cars; jaywalker; parked bicycle; parking lot
ff6af17f52c34e9c9958c64e41fb3786,scene-0658,7,boston-seaport,n008,40,,Wait at intersection; peds crossing crosswalk; scooter; turn left; heavy truck; bus stop
77c9f156f8594ed59dcdacb8b877a7ac,scene-0660,7,boston-seaport,n008,40,trailer,Painted truck; parked cars
06c43bc74aff453081ce83eb126a756e,scene-0662,7,boston-seaport,n008,40,,Parked cars; construction; wait at intersection; jaywalker
5b9c64f03f8b4a4f8189a18d74f866c2,scene-0663,7,boston-seaport,n008,40,,Parked cars; turn left; parked bicycles; construction vehicle
e323a27a0ba94ab5ab11010d778cd41f,scene-0666,7,boston-seaport,n008,41,,Parking lot; jaywalker
e8bda599a2d44d76a7692caeacb1ba6e,scene-0668,7,boston-seaport,n008,41,,Parked bus; crane; construction
b528f78de55e41d9bb3382176dae1a4c,scene-0673,7,boston-seaport,n008,40,,Construction; bus; wait at intersection; ped crossing crosswalk
3469d30a6e2a4d878fb0ff899346b7de,scene-0679,7,boston-seaport,n008,41,traffic_cone,Personal mobility; wheel chair; construction; peds; construction vehicle
52bb785dcb5548a1836898f14fb3cf6d,scene-0681,7,boston-seaport,n008,40,barrier,Wait at intersection; construction; bicycle; peds; lots of barriers and traffic cones
cab845a2e8864482993ac62811f879c1,scene-0683,7,boston-seaport,n008,40,traffic_cone,Wait at intersection; construction; start at intersection
53d4c9a634df4fdfadf057d3a216e98f,scene-0685,7,boston-seaport,n008,41,,Wait at crosswalk; many peds; turn right; peds crossing crosswalk; bus; sitting peds
a6ebe93557f24cf9bcf613dbff0aab24,scene-0686,7,boston-seaport,n008,41,,Many peds; jaywalkers; wait at intersection; peds crossing crosswalk; bicycle; stroller
a25d763258dc4526b52759b3ddaad7ec,scene-0687,7,boston-seaport,n008,41,bicycle,Bicyclists; many peds in sidewalk; turn right; bridge
2bbae5e654224cbeb5884c471e2ad05e,scene-0688,7,boston-seaport,n008,41,bicycle,Arrive at intersection; many peds; cyclist; bicycle
1466f33b56704942a368fa03d10708dd,scene-0695,7,boston-seaport,n008,40,,Parked cars; peds; bicycle racks; cones; through intersection
c133e78e55ae487c821803a3b183d1ab,scene-0696,7,boston-seaport,n008,40,,Cones; parked cars; ped crossing crosswalk
f68ef41fbd1142d3a74f71be605a2227,scene-0698,7,boston-seaport,n008,41,,Pullable object; peds on sidewalk; parked cars; parking lot; truck; arrive at intersection; cone
41e0d46e715a476ab05e4d62e415ea41,scene-0700,7,boston-seaport,n008,40,,Overtake stopped cars; arrive at intersection; car overtaking us; barriers; turn right; stopped cars at red light; ped on sidewalk; parking lot; bus stop
23e33c8bba1f411ba5871dc074f8dbf8,scene-0705,7,boston-seaport,n008,40,,Wait at intersection; truck; peds crossing crosswalk; ped on sidewalk; bicycles on sidewalk; cyclists
1ad821fcfc9f4c24bb879ec7d5ba0ec1,scene-0706,7,boston-seaport,n008,41,,Cross intersection; cars; cones; cars overtaking us; cyclist on sidewalk
1b3b150c9d3e4e1593e7ce882a69f870,scene-0707,7,boston-seaport,n008,40,,Construction; peds on sidewalk; arrive at intersection; bicyclist on sidewalk; cross intersection; bus stop; parked cars
5674c9e612cc4f7793330a361755830a,scene-0711,7,boston-seaport,n008,41,barrier,Change lane; truck; cars; cones; ped on sidewalk; bus; wait; car overtaking us
fb20ca9935c4439e8125ba830abcf9dc,scene-0712,7,boston-seaport,n008,40,,Cones; cars; peds on sidewalk; truck; construction vehicle; arrive at intersection; cross intersection; change lane; pole; bridge
efe3681f556b43e6aa65bf7bfc61a2f8,scene-0713,7,boston-seaport,n008,40,,Bridge; cars; peds on sidewalk; truck; arrive at intersection; peds crossing crosswalk
30ae9c1092f6404a9e6aa0589e809780,scene-0716,7,boston-seaport,n008,40,,Wait at intersection; ped crossing crosswalk; cars; bus; peds on sidewalk; bridge; bicycle crossing crosswalk; turn right; parked cars
555c691be4704ef29559373e031441dd,scene-0718,7,boston-seaport,n008,40,,Jaywalkers; parked cars; parked trucks; cones; wait at intersection; peds on sidewalk
e209e66ff7834490b212c16cb12a1ce9,scene-0719,7,boston-seaport,n008,40,,Jaywalkers; parked cars; parked trucks; cones; wait at intersection; peds on sidewalk; turn right; cross crosswalk; motorcycle
f92422ed4b4e427194a4958ccf15709a,scene-0730,7,boston-seaport,n008,40,,Car overtaking us; cones; cross intersection; parked cars; trailer; peds on sidewalk; wait at intersection
85e8f6d6743a4897b5e07e685267868e,scene-0731,7,boston-seaport,n008,41,,Wait at intersection; cones; peds crossing crosswalk; parked motorcycle; bicycle; truck
221a67d95acf448ba863917ec4d32ed0,scene-0733,7,boston-seaport,n008,40,,Wait at intersection; parked cars; bicycle; parked motorcycle; peds on sidewalks; truck; bus; cones
20b987b503444b3d9996c8f66946afa3,scene-0734,7,boston-seaport,n008,40,,Wait at intersection; parked cars; cones; peds on sidewalks; parked motorcycle; peds on sidewalks; bus; stroller
deab903b0b644d7a984c552968026631,scene-0735,7,boston-seaport,n008,40,,Cross intersection; flags; stopped bus; parked vehicles; peds; bicycle rack; parking lot; cross intersection; parked bicycle
2f9da038274a4448bdbb83f994fc6381,scene-0736,7,boston-seaport,n008,41,,Parked cars; ped crossing crosswalk; parked motorcycle; peds on sidewalk; turn left; cross intersection; fence; cone
df8dfada99a04a81bd1b102eeb84e9bc,scene-0737,7,boston-seaport,n008,40,,Barrier; cyclist; parked motorcycle; parked bus; cones; truck
d3d94f2ce3dc4db4b3ba6f4aa81c3987,scene-0738,7,boston-seaport,n008,41,,Trailers; peds on sidewalk; barrier; trucks; bendy bus; cross roundabout; cones; parking lots; cross intersection; bicycle
373bf99c103d4464a7b963a83523fbcb,scene-0747,7,boston-seaport,n008,41,const_veh,Wait at intersection; peds crossing crosswalk; parking lot
82240fd6d5ba4375815f8a7fa1561361,scene-0750,7,boston-seaport,n008,41,const_veh,Wait at intersection; parking lot; traffic chaos; truck blocking us; cross busy intersection; cyclist; parked cars
2fc3753772e241f2ab2cd16a784cc680,scene-0757,7,boston-seaport,n008,41,,Arrive at busy intersection; bus; wait at intersection; bicycle; peds
cfeb880362694fa7a428aec2fd139daa,scene-0763,7,boston-seaport,n008,41,bus,Fence; parking lot; bicyclist; buses; parked cars; ped with pets
7061c08f7eec4495979a0cf68ab6bb79,scene-0782,8,boston-seaport,n008,41,,Parked cars; peds; crossing intersection; bus; trailer; cones
40209c4e465d4b4e8341ebd52be0d842,scene-0783,8,boston-seaport,n008,41,,Cars; parked cars; overtaking a bus; peds; parked scooter; truck; arrive at intersection; cones
36f27b26ef4c423c9b79ac984dc33bae,scene-0795,8,singapore-queenstown,n015,40,,Motorcycle; cars; trucks; bus; cross intersection; stopped bus; cones; peds on sidewalk
c5224b9b454b4ded9b5d2d2634bbda8a,scene-0796,8,singapore-queenstown,n015,40,,Scooter; peds on sidewalk; bus; cars; truck; fake construction worker; bicycle; cross intersection; car overtaking us
380ff00ec86447e3b986edc8e82ffba7,scene-0798,8,singapore-queenstown,n015,40,,Start at intersection; dense traffic; stopped scooter; parked bicycles; cross intersection; truck; bus; peds
07aed9dae37340a997535ad99138e243,scene-0800,8,singapore-queenstown,n015,40,,Peds on sidewalk; cones; bus; cross intersection; parked bicycle
6741d407b1b44511853e5ec7aaee2992,scene-0802,8,singapore-queenstown,n015,41,,Cones; cross intersection; peds on sidewalk; parking lot; parked bicycle
aa54277d163d419b9f952b014112643e,scene-0806,8,boston-seaport,n008,41,,Rain; Wait at intersection; ped push a bicycle; cars; truck; peds on sidewalk; bus
2cc8ffb250c44b42a888e9185810e04c,scene-0808,8,boston-seaport,n008,40,,Rain; trucks; cars; ped crossing crosswalk; cross intersection; cones
e1e664292aa144bc8d0d5d6441df084c,scene-0809,8,boston-seaport,n008,40,,Truck; cars; cones; trailer; car overtaking us; bus
717053dec2ef4baa913ba1e24c09edff,scene-0810,8,boston-seaport,n008,40,,Rain. Truck; buses; cars; peds; jaywalker; arrive at intersection
0e247ba64b9d4a34a7256b6c173b1b5d,scene-0816,8,boston-seaport,n008,41,,Rain; cones; cars; barrier; trailers; trucks; peds on sidewalk; cross roundabout; bird
bf753f22bc524274bc359467e0be149c,scene-0848,8,singapore-queenstown,n015,41,,Parked bicycle; jaywalker; bus; peds on sidewalk; cones; parked cars
a5003bf9af8545a3a4c7f1f5604e8d3b,scene-0851,8,singapore-queenstown,n015,40,,Cones; cross intersection; construction vehicle; truck; many peds
ea68050d37ea40688241b2dc361ec886,scene-0852,8,singapore-queenstown,n015,41,,Many peds; jaywalkers; cars; parked motorcycle; truck; arrive at intersection
03a8a37d5d444674bae34336e78ac39d,scene-0855,8,singapore-queenstown,n015,41,,Ped on sidewalk; turn right; truck; cars; cross intersection; buses; motorcycle; cones; slope
cf652a711c8e40209132036a95162fed,scene-0858,8,singapore-queenstown,n015,40,,Bus; cars; motorcycles; turn left; peds on sidewalk
c6072dd4f7cc47efaad77889aa465ad6,scene-0860,8,singapore-queenstown,n015,41,,Parking lot; peds on sidewalk; jaywalker; parked bicycle; arrive at intersection; wait
748894952b00431186308b387c2f424c,scene-0861,8,singapore-queenstown,n015,41,motorcycle,Wait at intersection; nature; scooters; peds on sidewalk; ped with umbrella; parked bicycle; taxi; jaywalker; delivery scooter; turn right
c0990deaa8954a54afc86f7710f349a1,scene-0862,8,singapore-queenstown,n015,40,,Motorcycles; parked bicycle; cross intersection; peds crossing crosswalk; car passing by; peds sidewalk
6b6a24b7ae6b40ee95d60918f7f4cb2e,scene-0873,8,boston-seaport,n008,40,,Rain; waiting at intersection; jaywalkers; peds; parking lot; bus
13be0238abba499e95ba4e6404b22223,scene-0875,8,boston-seaport,n008,40,,Rain; wait at intersection; construction; truck turning
e15260c4ed5b4505900d497ef92ddd2d,scene-0876,8,boston-seaport,n008,40,,Rain; construction site; cones; barriers; construction worker; parked cars; parking lot; bridge; peds
938479858b4849dd8ceddc11c154082b,scene-0877,8,boston-seaport,n008,39,,Rain; parked cars; barriers; cones; containers; truck; person standing on truck; ped; construction site; construction vehicle; parking lot; bus
6447a9c30b0140d783871b08104ae7b3,scene-0878,8,boston-seaport,n008,40,,Rain; bus; parked cars; parked scooter; parked bicycle; waiting at intersection
d033fb0d79ea42b9a356fa5162172598,scene-0880,8,boston-seaport,n008,41,,Rain; parked cars; parked bicycle; parked scooter; barriers; fence; bus; cones; turn left; peds
