pick_order,scene_token,name,part,location,vehicle,num_samples,anchor_for,night,rain,construction,busy,description,th_barrier,th_bicycle,th_bus,th_car,th_const_veh,th_motorcycle,th_pedestrian,th_traffic_cone,th_trailer,th_truck,vx_drive_surf,vx_other_flat,vx_sidewalk,vx_terrain,vx_manmade,vx_vegetation
83,221a67d95acf448ba863917ec4d32ed0,scene-0733,7,boston-seaport,n008,40,,False,False,True,False,Wait at intersection; parked cars; bicycle; parked motorcycle; peds on sidewalks; truck; bus; cones,80,22,35,874,0,40,139,280,0,180,164596,10626,80501,92540,193786,456340
84,55638ae3a8b34572aef756ee7fbce0df,scene-0517,5,boston-seaport,n008,40,,False,False,True,False,Construction zone; constructing vehicles; pedestrian; parking lot,407,42,24,455,58,12,259,143,65,42,333071,22486,176414,55252,538573,145707
85,e15260c4ed5b4505900d497ef92ddd2d,scene-0876,8,boston-seaport,n008,40,,False,True,True,False,Rain; construction site; cones; barriers; construction worker; parked cars; parking lot; bridge; peds,830,0,0,619,64,2,137,739,23,185,421842,72465,128042,76221,618968,111586
86,8461c1125eaf46c7abaf4ee18e8c4ee6,scene-0949,9,singapore-onenorth,n015,40,,False,False,True,False,Parking lot; barriers; people at parking lot; parked bicycle; cones; peds; jaywalker,845,80,0,555,0,14,111,214,0,40,305919,6254,68336,255386,257697,814251
87,e1e664292aa144bc8d0d5d6441df084c,scene-0809,8,boston-seaport,n008,40,,False,False,True,False,Truck; cars; cones; trailer; car overtaking us; bus,0,26,114,519,33,0,21,389,126,110,566754,139913,168973,10809,364358,337832
88,9771da5dd7bb4657be34365619e39dab,scene-1096,10,singapore-hollandvillage,n015,41,,True,False,False,False,Night; wait at intersection; peds crossing crosswalk; scooter,0,0,41,371,0,6,367,0,0,82,191519,17700,73715,149090,450586,291256
89,df8dfada99a04a81bd1b102eeb84e9bc,scene-0737,7,boston-seaport,n008,40,,False,False,True,False,Barrier; cyclist; parked motorcycle; parked bus; cones; truck,679,45,40,358,27,25,303,168,39,40,445940,0,159179,4860,365216,95294
90,94f224a2a36c4bbbab59120cc6c31f6e,scene-0150,2,singapore-onenorth,n015,39,,False,False,False,True,Oncoming scooter; scooters; busy intersection; walking peds,164,0,30,304,0,110,754,110,0,91,295600,6816,54847,119270,463848,375389
91,8e1f7ff7dc9940da8eeca3c06ae1aa4d,scene-0203,2,boston-seaport,n008,40,,False,False,True,False,Construction; bus; turn right; crane; parked cars; ped crossing crosswalk; ped with backpack; parking lot,439,0,37,995,7,0,300,1,69,178,370694,0,167719,173343,261272,430055
92,6e820d4c44b74793aacd0c7091488865,scene-1005,9,singapore-queenstown,n015,40,,True,False,False,False,Night; bus; peds; crosswalk; parking lot,0,0,39,194,0,0,375,71,0,0,576531,0,183542,702040,307689,734868
93,8fe2dd6f533646b39c8e81316597c52b,scene-0982,9,singapore-onenorth,n015,41,,False,False,True,False,Truck; barrier; many peds; cones; cars; wait behind intersection; construction vehicle; arrive at intersection,1718,0,0,300,79,80,403,324,0,142,201453,11150,70501,142133,223789,426838
94,08110c8640454affb5167801442a85fd,scene-0653,6,boston-seaport,n008,41,,False,False,False,False,Parked cars; jaywalkers; parked truck,59,19,41,769,0,104,179,183,259,440,436900,0,58092,47183,280187,74199
95,1b3b150c9d3e4e1593e7ce882a69f870,scene-0707,7,boston-seaport,n008,40,,False,False,True,False,Construction; peds on sidewalk; arrive at intersection; bicyclist on sidewalk; cross intersection; bus stop; parked cars,567,40,0,529,0,0,322,228,15,70,574406,51287,232759,28801,271131,142053
96,04e5f089805540a5a9e73c1b7c54ee8c,scene-1102,10,singapore-hollandvillage,n015,40,,True,True,False,False,Night; rain; scooter; cars; high speed; cross intersection; arrive at intersection,119,0,0,205,10,9,0,0,0,40,542742,72733,168938,43920,324405,965114
97,5b9c64f03f8b4a4f8189a18d74f866c2,scene-0663,7,boston-seaport,n008,40,,False,False,True,False,Parked cars; turn left; parked bicycles; construction vehicle,186,31,0,657,66,97,152,312,144,481,402160,1943,104527,41083,551717,174659
98,ab7f4909bc6c4841a12020355a7d505c,scene-0656,7,boston-seaport,n008,40,,False,False,False,False,Parked cars; jaywalker; parked bicycle; parking lot,96,0,33,1025,86,13,138,284,28,183,386559,1,196084,217819,438508,531306
99,862a468e56954dc9a833a9eb3ebd884b,scene-0508,5,boston-seaport,n008,41,,False,False,True,False,Construction zone; roundabout junction,829,19,0,426,57,36,393,164,146,154,478465,27380,95362,48953,311510,53415
100,26c089d84086473e87607ae5c6ae85c6,scene-1081,10,singapore-hollandvillage,n015,40,,True,True,False,True,Night; rain; big street; congestion; cars; scooter; arrive at intersection,0,0,0,438,0,45,127,0,0,0,398554,0,89430,131252,423435,564769
101,cf652a711c8e40209132036a95162fed,scene-0858,8,singapore-queenstown,n015,40,,False,False,False,False,Bus; cars; motorcycles; turn left; peds on sidewalk,4,13,78,565,0,80,198,18,0,24,958535,7400,352335,942740,153506,840345
102,3014465d5958427aac89c4f15b6050dd,scene-0893,8,boston-seaport,n008,40,,False,True,True,False,Rain; parked cars; peds; cross intersection; cones; ped crossing crosswalk; parked bicycles; cones,127,28,0,1306,0,0,446,250,0,111,215178,0,192106,2436,822599,358298
103,363bb6c0fdaf465aa54c39f082bb92c6,scene-0286,3,boston-seaport,n008,40,,False,False,False,False,Wait at intersection; turn right; follow and overtake truck and bus,195,0,40,931,20,0,38,99,141,234,546308,21461,93232,106542,163609,522135
104,a1b51c02d8414856a86c0c37e4789c2f,scene-0369,4,singapore-onenorth,n015,40,,False,False,False,True,Start at busy intersection; turn right; multiple scooters crossing,418,0,69,187,0,134,0,59,0,65,762705,33063,95640,416493,215456,133676
105,cfa36eca40364e5bb15f550a077a21c5,scene-1101,10,singapore-hollandvillage,n015,40,,True,True,False,False,Night; buses; peds; rain; right turn,0,0,51,301,0,0,177,40,0,0,589476,13478,327749,345232,755364,424160
106,f0294478e1994642bac453f1e84610df,scene-0357,4,singapore-onenorth,n015,41,,False,False,True,False,Wait at intersection; digger turning; peds; construction; worker putting down cones,1608,0,0,641,41,40,1088,880,0,70,178439,10292,106853,39682,208396,418457
107,6447a9c30b0140d783871b08104ae7b3,scene-0878,8,boston-seaport,n008,40,,False,True,False,False,Rain; bus; parked cars; parked scooter; parked bicycle; waiting at intersection,80,38,27,684,0,40,40,0,19,44,132740,4551,104580,21376,261370,663423
108,209e9e9c3a2e4a399c44b6aa8be659d6,scene-0945,9,singapore-onenorth,n015,41,,False,False,True,False,Enter road; turn left; workers; construction; construction vehicle; bus; back up to avoid cone; turn left; many peds,1409,0,67,352,41,0,378,802,0,20,280852,4657,86910,190566,489100,525913
109,129304d659464b0fb3a51c99eaec114a,scene-0222,3,boston-seaport,n008,40,,False,False,False,False,Jaywalkers; traffic police; sitting jaywalkers; parked car and peds,30,11,76,912,12,6,582,36,14,256,380267,94,232451,151103,440860,519926
