pick_order,scene_token,name,part,location,vehicle,num_samples,anchor_for,description
29,2dc89e0f9c6c4dbab908d341fab020c6,scene-0382,4,singapore-onenorth,n015,40,motorcycle,Turn left; parking lot; peds; parked motorcycles
30,5674c9e612cc4f7793330a361755830a,scene-0711,7,boston-seaport,n008,41,barrier,Change lane; truck; cars; cones; ped on sidewalk; bus; wait; car overtaking us
31,52bb785dcb5548a1836898f14fb3cf6d,scene-0681,7,boston-seaport,n008,40,barrier,Wait at intersection; construction; bicycle; peds; lots of barriers and traffic cones
32,bd22f197e9f648cba8e307869479629b,scene-0600,6,boston-seaport,n008,41,bus,Rain; parked busses; parking lot
33,d4d2faa310a748dda508d15c6d5c4244,scene-1019,10,singapore-queenstown,n015,40,,Night; scooter; light; peds crossing crosswalk; bus stop
34,ba76f4185aa34ed3bff467ac640da902,scene-0151,2,singapore-onenorth,n015,40,,Turn right; busy intersection; construction; peds; parked bicycles; construction vehicle; motorcycle
35,de7d80a1f5fb4c3e82ce8a4f213b450a,scene-1094,10,singapore-hollandvillage,n015,40,,Night; after rain; many peds; PMD; ped with bag; jaywalker; truck; scooter
36,bf753f22bc524274bc359467e0be149c,scene-0848,8,singapore-queenstown,n015,41,,Parked bicycle; jaywalker; bus; peds on sidewalk; cones; parked cars
37,3ace9decdd1f4ea0915b9862c95ca128,scene-1097,10,singapore-hollandvillage,n015,40,,Night; scooter; start at intersection; turn right; ped crossing crosswalk; bus
38,70368a18644046f898ab836fc8a3c03f,scene-0043,1,singapore-onenorth,n015,39,,Busy intersection; oncoming traffic; construction zone on the left
39,cc8c0bf57f984915a77078b10eb33198,scene-0061,1,singapore-onenorth,n015,39,,Parked truck; construction; intersection; turn left; following a van
40,a2b64d02c5fa4b9bab671a97561b6b33,scene-1095,10,singapore-hollandvillage,n015,40,,Night; rain; lane change; cross intersection; scooter; bus; arrive at intersection
41,06c43bc74aff453081ce83eb126a756e,scene-0662,7,boston-seaport,n008,40,,Parked cars; construction; wait at intersection; jaywalker
42,b528f78de55e41d9bb3382176dae1a4c,scene-0673,7,boston-seaport,n008,40,,Construction; bus; wait at intersection; ped crossing crosswalk
43,7bcc4753bdb64d2cb407b55cc4e4527f,scene-0356,4,singapore-onenorth,n015,39,,Arrive at intersection; construction; digger turning; peds crossing; bus
44,d3d94f2ce3dc4db4b3ba6f4aa81c3987,scene-0738,7,boston-seaport,n008,41,,Trailers; peds on sidewalk; barrier; trucks; bendy bus; cross roundabout; cones; parking lots; cross intersection; bicycle
45,4db0eee3b82d49b198c1a411cf7f7d68,scene-0135,2,singapore-onenorth,n015,39,,Heavy traffic; sitting peds; parked motorcycles; 2 jaywalkers; turn right; busy intersection
46,85e8f6d6743a4897b5e07e685267868e,scene-0731,7,boston-seaport,n008,41,,Wait at intersection; cones; peds crossing crosswalk; parked motorcycle; bicycle; truck
47,4ed628299b1e45a3a73704e8cf8287a9,scene-1053,10,singapore-hollandvillage,n015,41,,Night; rain; bump; peds; congestion; parked car
48,d987908d74794138b07d1237887bb441,scene-0392,4,boston-seaport,n008,40,,Cross intersection; bicyclist crossing; school bus; bicycle rack; jaywalker; peds; parked scooter
49,20b987b503444b3d9996c8f66946afa3,scene-0734,7,boston-seaport,n008,40,,Wait at intersection; parked cars; cones; peds on sidewalks; parked motorcycle; peds on sidewalks; bus; stroller
50,76c632788f8c4516bef1c4297f2002f6,scene-0983,9,singapore-onenorth,n015,40,,Construction vehicle; cones; peds crossing crosswalk; peds on sidewalk; motorcycle; parked bicycles
51,27dc2edfb6524c7d8997ac3573ed2f3d,scene-0504,5,boston-seaport,n008,39,,Construction zone; cross intersection; peds crossing crosswalk; oncoming bus at intersection; parked car entering the road; sign trailer; bridge
52,03ee880dd4e348f4b3407f0d073c7c70,scene-0021,1,singapore-onenorth,n015,40,,Wait at intersection; jaywalkers; parking lot; parked bicycle; turn right; construction; truck
53,f0f7132494bc4045a21868aca13b56f9,scene-1016,10,singapore-queenstown,n015,40,,Night; peds; bus stop; bump; ped crossing crosswalk; bus
54,9c5dc664216e43a99d5da3f23d373e4d,scene-0592,6,boston-seaport,n008,41,,Rain; wait at intersection; turn left; huge truck; scooter
55,b57e1a48e584451f8f966ab083c8d07d,scene-1099,10,singapore-hollandvillage,n015,40,,Night; wait at busy intersection; peds; scooter on sidewalk; attempt to turn right
56,a6fae4900f8e46cba689b59b5bc8a2ab,scene-0648,6,boston-seaport,n008,40,,Rain; cross intersection; reflections; bicycle rack; bus
57,73d9a36f20594e658020ebfc5b0ba74a,scene-0159,2,singapore-onenorth,n015,39,,Peds crossing crosswalk; barrier being pushed across crosswalk; turn left; peds
58,df0c3cb16cde410eba8eea191765515c,scene-0455,5,boston-seaport,n008,41,,Rain; bus; jaywalker; parking lot; parked bicycle; peds; bicycle rack
59,798e8504b4364d378270333a349ef508,scene-0046,1,singapore-onenorth,n015,39,,Busy intersection; ped crossing; waiting for traffic light; construction zone on the left
60,2cc8ffb250c44b42a888e9185810e04c,scene-0808,8,boston-seaport,n008,40,,Rain; trucks; cars; ped crossing crosswalk; cross intersection; cones
61,25496f19ffd14bd088cb430bfc01a4d7,scene-0004,1,singapore-onenorth,n015,40,,Random scene; arrive at intersection; cross intersection; jaywalkers
62,d8a5dd6087de4e808c61c27f91e8216e,scene-0590,6,boston-seaport,n008,40,,Rain; cluster of traffic cones; wait at intersection; bendy bus
63,d033fb0d79ea42b9a356fa5162172598,scene-0880,8,boston-seaport,n008,41,,Rain; parked cars; parked bicycle; parked scooter; barriers; fence; bus; cones; turn left; peds
64,312102fd97de4bd4859374946e24ccdc,scene-0354,4,singapore-onenorth,n015,39,,Start at intersection; truck; bus; construction zone; parked bicycle
65,d3c39710e9da42f48b605824ce2a1927,scene-1108,10,singapore-hollandvillage,n015,40,,Night; wet front camera; rain; bus; wait at intersection; scooters
66,938479858b4849dd8ceddc11c154082b,scene-0877,8,boston-seaport,n008,39,,Rain; parked cars; barriers; cones; containers; truck; person standing on truck; ped; construction site; construction vehicle; parking lot; bus
67,2f9da038274a4448bdbb83f994fc6381,scene-0736,7,boston-seaport,n008,41,,Parked cars; ped crossing crosswalk; parked motorcycle; peds on sidewalk; turn left; cross intersection; fence; cone
68,34a9823fac0d4b9db30898e00b5f9f9c,scene-1017,10,singapore-queenstown,n015,40,,Night; ped; cars; bump; scooter; congestion
69,c0d3796765e2452d990309b2568adac5,scene-0158,2,singapore-onenorth,n015,40,,Worker stopped ego car; worker removes cones; follow truck; heavy traffic; construction; peds
70,2131d9fd2c48418081875019e35cf6a2,scene-0892,8,boston-seaport,n008,40,,Rain; parked cars; barriers; peds; parked bicycle; parked scooter; bicycle rack; parking lot; crossing intersection
71,30ae9c1092f6404a9e6aa0589e809780,scene-0716,7,boston-seaport,n008,40,,Wait at intersection; ped crossing crosswalk; cars; bus; peds on sidewalk; bridge; bicycle crossing crosswalk; turn right; parked cars
72,2121cc12888e47ce856dc5391f202594,scene-0358,4,singapore-onenorth,n015,40,,Wait at intersection; construction; heavy vehicle reversing; several peds waiting for crossing
73,717053dec2ef4baa913ba1e24c09edff,scene-0810,8,boston-seaport,n008,40,,Rain. Truck; buses; cars; peds; jaywalker; arrive at intersection
74,8d267899e2e843d4905fafd1f12c0a20,scene-1085,10,singapore-hollandvillage,n015,41,,Night; many peds; parked bicycles; turn left; parked scooters; congestion; peds with bags; cars in parking garage on second floor; trash cans
75,41e0d46e715a476ab05e4d62e415ea41,scene-0700,7,boston-seaport,n008,40,,Overtake stopped cars; arrive at intersection; car overtaking us; barriers; turn right; stopped cars at red light; ped on sidewalk; parking lot; bus stop
76,4047f251c21a475abb49518e0fa6fa9e,scene-0047,1,singapore-onenorth,n015,40,,Construction workers close to road; vehicle turn out; cross intersection
77,5e270cfc71714e2bb94bad445c6159a4,scene-0259,3,boston-seaport,n008,40,,Busy intersection; tram bus; construction sign board; many peds; turn right; parked cars
78,242ac1b59fec4e0c9c200ffca81775e2,scene-0998,9,singapore-queenstown,n015,40,,Night; roundabout; bus; ped crossing crosswalk
79,14b96c255dee4a838a8d401302ac2852,scene-0261,3,boston-seaport,n008,40,,Ped mending a bus; lots of barriers
80,f92422ed4b4e427194a4958ccf15709a,scene-0730,7,boston-seaport,n008,40,,Car overtaking us; cones; cross intersection; parked cars; trailer; peds on sidewalk; wait at intersection
81,f634de95cc7043b8b38ceaac67d472cf,scene-1044,10,singapore-hollandvillage,n015,41,,Night; motorcycles; dense traffic; congestion; arrive at intersection
82,782f9486adbd4546a492e69b6697ef70,scene-0891,8,boston-seaport,n008,40,,Rain; parking lot; parked bicycles; parked cars; bicycle rack; turn left; peds; ped crossing crosswalk; cross intersection; barriers
83,221a67d95acf448ba863917ec4d32ed0,scene-0733,7,boston-seaport,n008,40,,Wait at intersection; parked cars; bicycle; parked motorcycle; peds on sidewalks; truck; bus; cones
84,55638ae3a8b34572aef756ee7fbce0df,scene-0517,5,boston-seaport,n008,40,,Construction zone; constructing vehicles; pedestrian; parking lot
85,e15260c4ed5b4505900d497ef92ddd2d,scene-0876,8,boston-seaport,n008,40,,Rain; construction site; cones; barriers; construction worker; parked cars; parking lot; bridge; peds
86,8461c1125eaf46c7abaf4ee18e8c4ee6,scene-0949,9,singapore-onenorth,n015,40,,Parking lot; barriers; people at parking lot; parked bicycle; cones; peds; jaywalker
87,e1e664292aa144bc8d0d5d6441df084c,scene-0809,8,boston-seaport,n008,40,,Truck; cars; cones; trailer; car overtaking us; bus
88,9771da5dd7bb4657be34365619e39dab,scene-1096,10,singapore-hollandvillage,n015,41,,Night; wait at intersection; peds crossing crosswalk; scooter
89,df8dfada99a04a81bd1b102eeb84e9bc,scene-0737,7,boston-seaport,n008,40,,Barrier; cyclist; parked motorcycle; parked bus; cones; truck
90,94f224a2a36c4bbbab59120cc6c31f6e,scene-0150,2,singapore-onenorth,n015,39,,Oncoming scooter; scooters; busy intersection; walking peds
91,8e1f7ff7dc9940da8eeca3c06ae1aa4d,scene-0203,2,boston-seaport,n008,40,,Construction; bus; turn right; crane; parked cars; ped crossing crosswalk; ped with backpack; parking lot
92,6e820d4c44b74793aacd0c7091488865,scene-1005,9,singapore-queenstown,n015,40,,Night; bus; peds; crosswalk; parking lot
93,8fe2dd6f533646b39c8e81316597c52b,scene-0982,9,singapore-onenorth,n015,41,,Truck; barrier; many peds; cones; cars; wait behind intersection; construction vehicle; arrive at intersection
94,08110c8640454affb5167801442a85fd,scene-0653,6,boston-seaport,n008,41,,Parked cars; jaywalkers; parked truck
95,1b3b150c9d3e4e1593e7ce882a69f870,scene-0707,7,boston-seaport,n008,40,,Construction; peds on sidewalk; arrive at intersection; bicyclist on sidewalk; cross intersection; bus stop; parked cars
96,04e5f089805540a5a9e73c1b7c54ee8c,scene-1102,10,singapore-hollandvillage,n015,40,,Night; rain; scooter; cars; high speed; cross intersection; arrive at intersection
97,5b9c64f03f8b4a4f8189a18d74f866c2,scene-0663,7,boston-seaport,n008,40,,Parked cars; turn left; parked bicycles; construction vehicle
98,ab7f4909bc6c4841a12020355a7d505c,scene-0656,7,boston-seaport,n008,40,,Parked cars; jaywalker; parked bicycle; parking lot
99,862a468e56954dc9a833a9eb3ebd884b,scene-0508,5,boston-seaport,n008,41,,Construction zone; roundabout junction
100,26c089d84086473e87607ae5c6ae85c6,scene-1081,10,singapore-hollandvillage,n015,40,,Night; rain; big street; congestion; cars; scooter; arrive at intersection
101,cf652a711c8e40209132036a95162fed,scene-0858,8,singapore-queenstown,n015,40,,Bus; cars; motorcycles; turn left; peds on sidewalk
102,3014465d5958427aac89c4f15b6050dd,scene-0893,8,boston-seaport,n008,40,,Rain; parked cars; peds; cross intersection; cones; ped crossing crosswalk; parked bicycles; cones
103,363bb6c0fdaf465aa54c39f082bb92c6,scene-0286,3,boston-seaport,n008,40,,Wait at intersection; turn right; follow and overtake truck and bus
104,a1b51c02d8414856a86c0c37e4789c2f,scene-0369,4,singapore-onenorth,n015,40,,Start at busy intersection; turn right; multiple scooters crossing
105,cfa36eca40364e5bb15f550a077a21c5,scene-1101,10,singapore-hollandvillage,n015,40,,Night; buses; peds; rain; right turn
106,f0294478e1994642bac453f1e84610df,scene-0357,4,singapore-onenorth,n015,41,,Wait at intersection; digger turning; peds; construction; worker putting down cones
107,6447a9c30b0140d783871b08104ae7b3,scene-0878,8,boston-seaport,n008,40,,Rain; bus; parked cars; parked scooter; parked bicycle; waiting at intersection
108,209e9e9c3a2e4a399c44b6aa8be659d6,scene-0945,9,singapore-onenorth,n015,41,,Enter road; turn left; workers; construction; construction vehicle; bus; back up to avoid cone; turn left; many peds
109,129304d659464b0fb3a51c99eaec114a,scene-0222,3,boston-seaport,n008,40,,Jaywalkers; traffic police; sitting jaywalkers; parked car and peds
110,36e3167610cc48eabcaad06a72479ac7,scene-0462,5,boston-seaport,n008,41,,Rain; cross intersection; parking lot; construction vehicle
111,6746ba640c0e45c7961efbe6af51757e,scene-0353,4,singapore-onenorth,n015,39,,Start at intersection; cross intersection; construction; parked bicycle; stop at intersection
112,03a8a37d5d444674bae34336e78ac39d,scene-0855,8,singapore-queenstown,n015,41,,Ped on sidewalk; turn right; truck; cars; cross intersection; buses; motorcycle; cones; slope
113,f68ef41fbd1142d3a74f71be605a2227,scene-0698,7,boston-seaport,n008,41,,Pullable object; peds on sidewalk; parked cars; parking lot; truck; arrive at intersection; cone
114,57146b2ebf10432f84b15a3038fe1755,scene-1110,10,singapore-hollandvillage,n015,40,,Night; rain; bus; turn right; peds; bus stop
115,7540f31d12f1439db67a50be7726c70d,scene-0306,3,boston-seaport,n008,40,,Parked cars; bicyclist waiting in the middle of the intersection
116,6b6a24b7ae6b40ee95d60918f7f4cb2e,scene-0873,8,boston-seaport,n008,40,,Rain; waiting at intersection; jaywalkers; peds; parking lot; bus
117,2422d2652f4f42298a389a6e0dfef307,scene-0981,9,singapore-onenorth,n015,41,,Construction workers; cones; many barrier; truck; construction vehicle; many peds; wait; barriers; construction zone
118,cb0cd06a1dd84271968466d7b65e48f8,scene-0067,1,boston-seaport,n008,40,,Exit construction; ped on crosswalk; construction workers; parking lot
119,240d15482599449a9bd0432fbfa688ab,scene-0428,5,singapore-queenstown,n015,41,,Avoid congestion; drive uphill; barriers; peds in sidewalk
120,affb0caa5d2948f98cee5c42c7aefc1c,scene-1084,10,singapore-hollandvillage,n015,41,,Night; scooter; peds; bus stop; parked cars; wait
121,13be0238abba499e95ba4e6404b22223,scene-0875,8,boston-seaport,n008,40,,Rain; wait at intersection; construction; truck turning
122,a6ebe93557f24cf9bcf613dbff0aab24,scene-0686,7,boston-seaport,n008,41,,Many peds; jaywalkers; wait at intersection; peds crossing crosswalk; bicycle; stroller
123,69ee276c40644ddbb7fe21c613cd7689,scene-0321,3,boston-seaport,n008,40,,Ped; heavy traffic flow; peds; parked car
124,fdf4384c1fce4a16aad939d8417bccd6,scene-0378,4,singapore-onenorth,n015,40,,Construction zone; excavator; workers; nature; parked buses; ped
125,a5003bf9af8545a3a4c7f1f5604e8d3b,scene-0851,8,singapore-queenstown,n015,40,,Cones; cross intersection; construction vehicle; truck; many peds
126,fd4ef697de684d0a8e016a8f8ae61193,scene-0896,9,boston-seaport,n008,40,,Rain; parked cars; peds; construction; fence; flooded road; construction vehicle; truck; parked motorcycles; narrow street; bus; parking lot
127,433a14f8dcf5457fb2c4def5c749122a,scene-0057,1,singapore-onenorth,n015,39,,Jaywalkers; parked bike and scooter; parked car on the main road
128,fb20ca9935c4439e8125ba830abcf9dc,scene-0712,7,boston-seaport,n008,40,,Cones; cars; peds on sidewalk; truck; construction vehicle; arrive at intersection; cross intersection; change lane; pole; bridge
129,1be49200788d4e38ae4496b27b233ccb,scene-1093,10,singapore-hollandvillage,n015,41,,Night; wait at intersection; peds crossing crosswalk; peds sidewalk; personal mobility device
130,30e77a3561ce4f1bb4fd90e322ea29d7,scene-0066,1,boston-seaport,n008,39,,Parking lots; parked truck; construction; congestion; worker directing traffic; passing cars
131,d0de3bf834b747179080898725b0f21d,scene-0385,4,singapore-onenorth,n015,40,,Turn left; construction; peds; parked bicycle; turn left
132,e209e66ff7834490b212c16cb12a1ce9,scene-0719,7,boston-seaport,n008,40,,Jaywalkers; parked cars; parked trucks; cones; wait at intersection; peds on sidewalk; turn right; cross crosswalk; motorcycle
133,2a721a8d80e04e4e82709e6150f5196a,scene-0437,5,singapore-queenstown,n015,40,,Low traffic; cross intersection; crosswalk; truck; bus
134,c4ab236557c8423caa8add5fb48a0898,scene-0596,6,boston-seaport,n008,41,,Rain; wait at intersection; start at intersection; peds; large truck; dog; turn left
135,04061484361145f5ac6f90a5103b84a6,scene-0194,2,singapore-onenorth,n015,40,,Parked car starts to move; two bicycles lying in grass; construction zone; speed reduce; peds
136,bebf5f5b2a674631ab5c88fd1aa9e87a,scene-0655,6,boston-seaport,n008,41,,Parking lot; parked cars; jaywalker; bendy bus; gardening vehicles
137,865c607c8ef44f13b39744a0de110740,scene-1074,10,singapore-hollandvillage,n015,40,,Night; rain; high speed; bus stop; bus; peds; parked bicycle
138,eae0cfe3be5f44a5be4f3e2c961397ed,scene-0225,3,boston-seaport,n008,40,,Wait at intersection; construction; peds crossing crosswalk; turn right; parking lot
139,60111bb5388f4195b98555d4d4b89618,scene-0224,3,boston-seaport,n008,39,,Peds crossing crosswalk; arrive at intersection; barrier; ped with backpack; heavy truck
140,4f679c8f8f6d4f5d8466253dda4733ba,scene-1046,10,singapore-hollandvillage,n015,40,,Night; wait at intersection; dense traffic; motorcycle; bus
141,ea68050d37ea40688241b2dc361ec886,scene-0852,8,singapore-queenstown,n015,41,,Many peds; jaywalkers; cars; parked motorcycle; truck; arrive at intersection
142,e8bda599a2d44d76a7692caeacb1ba6e,scene-0668,7,boston-seaport,n008,41,,Parked bus; crane; construction
143,f123185f3bb64faebc08d4453aec2659,scene-0304,3,boston-seaport,n008,39,,Cross intersection; turning truck; parked truck
144,2f093cad7209436aa06e103bfe062857,scene-0355,4,singapore-onenorth,n015,39,,Construction worker; construction; blocking us; then giving sign to start
145,5890face846e47a899246159b7c30bd7,scene-0538,6,boston-seaport,n008,41,,Ton of pedestrians in park; parking lot; parked motorcycles; parked bicycles; jaywalkers
146,e233467e827140efa4b42d2b4c435855,scene-1100,10,singapore-hollandvillage,n015,40,,Night; peds in sidewalk; peds cross crosswalk; scooter; PMD; difficult lighting
147,c133e78e55ae487c821803a3b183d1ab,scene-0696,7,boston-seaport,n008,40,,Cones; parked cars; ped crossing crosswalk
148,0287702725184161af95373198546a59,scene-0587,6,boston-seaport,n008,41,,Rain; wait at intersection; truck
149,88abbe4f3b37466791b2ae58490044d9,scene-0427,5,singapore-queenstown,n015,41,,Parking lot; many peds; bump; buses; congestion
150,23e33c8bba1f411ba5871dc074f8dbf8,scene-0705,7,boston-seaport,n008,40,,Wait at intersection; truck; peds crossing crosswalk; ped on sidewalk; bicycles on sidewalk; cyclists
151,e3b6fe9201c64334be311d4249a0c80e,scene-1104,10,singapore-hollandvillage,n015,41,,Night; truck; rain; cross intersection
152,a2e8f126913b4f72909e06d881dc5a8b,scene-0980,9,singapore-onenorth,n015,41,,Construction; many peds; lane blocked; switch lane; workers; bicycle rack; truck; parked scooter
153,f0f120e4d4b0441da90ec53b16ee169d,scene-0578,6,boston-seaport,n008,41,,Rain; cross intersection
154,ff6af17f52c34e9c9958c64e41fb3786,scene-0658,7,boston-seaport,n008,40,,Wait at intersection; peds crossing crosswalk; scooter; turn left; heavy truck; bus stop
155,aee27b55da77468ba444357348f5cf88,scene-0507,5,boston-seaport,n008,41,,Parked cars; peds; construction zone; oncoming truck; peds walking on road
156,7deb4760e2244f32b57f9d631b535b66,scene-0006,1,singapore-onenorth,n015,40,,Sitting construction worker; parked bicycle; ped walking along road; construction vehicle; worker sitting on back of van
157,38b3010304734913bb148d17ebbc352b,scene-0645,6,boston-seaport,n008,41,,Rain; parked cars; wait at intersection; ped crossing crosswalk; turn right; truck
158,261e8288cf5647e396ab584e210e4ba1,scene-0439,5,singapore-queenstown,n015,41,,Parking lot; peds; parked bicycle
159,4c5c675340d14cd88a65b5e22eb9c9c1,scene-0901,9,boston-seaport,n008,41,,Rain; parked cars; parking lot; peds; ped crossing crosswalk
160,0e247ba64b9d4a34a7256b6c173b1b5d,scene-0816,8,boston-seaport,n008,41,,Rain; cones; cars; barrier; trailers; trucks; peds on sidewalk; cross roundabout; bird
161,54cdaaae372d421fa4734d66f51a8c48,scene-0368,4,singapore-onenorth,n015,40,,Arrive at busy intersection
162,26540bfbab79463cb1ba76b52ec6013b,scene-0285,3,boston-seaport,n008,40,,Cross intersection; construction; barriers; construction worker walking along the barriers
163,28db6ee9a8d34e9e88e741817b6733c1,scene-0591,6,boston-seaport,n008,41,,Rain; cross intersection; wait at intersection; statues
164,d25718445d89453381c659b9c8734939,scene-1077,10,singapore-hollandvillage,n015,41,,Night; big street; bus stop; high speed; construction vehicle
165,9a1188aba4bf458c8220818a6c0be55a,scene-0058,1,singapore-onenorth,n015,39,,Construction; strange cleaning vehicle parked on our lane
166,64a3a2d22172406c848f2a92275808ba,scene-0465,5,boston-seaport,n008,41,,Rain; start at intersection; wet ground; traffic cone loaded on a truck; car overtaking us
167,66461d94f2e44d39a90843ff2dce11e8,scene-0594,6,boston-seaport,n008,40,,Rain; turn right; arrive at intersection; big trucks
168,ced236f5da704cbcb41249bb6ecc8b68,scene-0401,4,singapore-hollandvillage,n015,40,,Turn right; residential area; construction; narrow road; motorcycle
169,bed12977df5a41dcb97ac69eeae3682c,scene-0445,5,boston-seaport,n008,40,,Rain; parking lot
170,c6072dd4f7cc47efaad77889aa465ad6,scene-0860,8,singapore-queenstown,n015,41,,Parking lot; peds on sidewalk; jaywalker; parked bicycle; arrive at intersection; wait
171,2fc3753772e241f2ab2cd16a784cc680,scene-0757,7,boston-seaport,n008,41,,Arrive at busy intersection; bus; wait at intersection; bicycle; peds
172,c3e0e9f6ee8d4170a3d22a6179f1ca3a,scene-0002,1,singapore-onenorth,n015,40,,Intersection; peds; waiting vehicle; parked motorcycle at parking lot
173,aa54277d163d419b9f952b014112643e,scene-0806,8,boston-seaport,n008,41,,Rain; Wait at intersection; ped push a bicycle; cars; truck; peds on sidewalk; bus
174,2175d0e84f224ea69907e5c338bde395,scene-1048,10,singapore-hollandvillage,n015,40,,Night; dense traffic; congestion; motorcycle; turn right
175,e02aee6f1fec4d13ad77044466da5fb4,scene-0641,6,boston-seaport,n008,40,,Rain; cross intersection; parked cars; change lane; arrive at intersection
176,c0990deaa8954a54afc86f7710f349a1,scene-0862,8,singapore-queenstown,n015,40,,Motorcycles; parked bicycle; cross intersection; peds crossing crosswalk; car passing by; peds sidewalk
177,e323a27a0ba94ab5ab11010d778cd41f,scene-0666,7,boston-seaport,n008,41,,Parking lot; jaywalker
178,010fb5bcc7984d0f8f07f99e02366df1,scene-0471,5,boston-seaport,n008,40,,Rain; parked cars; construction
179,fee7ac5f5c1e4943877cd20d6e069427,scene-1021,10,singapore-queenstown,n015,40,,Night; peds in dark; arrive at intersection; bus
180,deab903b0b644d7a984c552968026631,scene-0735,7,boston-seaport,n008,40,,Cross intersection; flags; stopped bus; parked vehicles; peds; bicycle rack; parking lot; cross intersection; parked bicycle
181,0b8948ee96ac46faad405bf1ffc70bb1,scene-0570,6,boston-seaport,n008,40,,Rain; wait at intersection; turn right; bus; truck; many parked trucks
